year,avgTemp,minTemp,maxTemp,corona,result
20110101,-6.8,-10.4,-2.9,0,4297
20110102,-5.4,-8.5,-1.2,0,4249
20110104,-3.9,-7.4,-1.7,0,3628
20110105,-4,-7.7,-1.8,0,2765
20110106,-7.6,-9.8,-4.6,0,2288
20110107,-7,-10.6,-2.9,0,2245
20110108,-3.6,-8.2,0.1,0,5923
20110109,-7,-10.3,-0.3,0,4759
20110111,-5.4,-7.8,-2.7,0,3265
20110112,-8.2,-11.1,-4.9,0,2263
20110113,-5.9,-11.1,-0.6,0,3042
20110114,-3.8,-6.9,0.3,0,3043
20110115,-12.2,-15.7,-6.9,0,4594
20110116,-14.5,-17.8,-10.7,0,2729
20110118,-6.7,-10.8,-2.7,0,2731
20110119,-6.6,-10,-3.2,0,2511
20110120,-8.2,-10.5,-4.7,0,2476
20110121,-6.8,-9.7,-3.2,0,3157
20110122,-4.3,-7.1,-0.8,0,7341
20110123,-4.5,-7.1,-2.1,0,4947
20110125,-8.4,-11.9,-4.4,0,3502
20110126,-8.5,-10.7,-5.2,0,2919
20110127,-8.9,-11.5,-5.7,0,2621
20110128,-7.9,-10.5,-4.3,0,2658
20110129,-9.1,-11.5,-5.5,0,4963
20110130,-10.1,-13.6,-5.7,0,3219
20110201,-0.2,-4.2,5,0,3042
20110202,1.3,-2.8,7,0,4813
20110203,1.5,-1.3,4.9,0,10236
20110204,1.2,-0.5,3.5,0,10455
20110205,1.1,-0.8,5.5,0,8976
20110206,0.3,-2.1,2.7,0,5126
20110208,2.9,-0.5,8.5,0,3249
20110209,-1.2,-4.1,2.1,0,1998
20110210,-2.1,-5.6,2.7,0,1837
20110211,-2.9,-6.2,1.8,0,2185
20110212,-5.9,-9.2,-1.8,0,5278
20110213,-4.8,-9,-0.2,0,4703
20110215,-1.8,-5.5,2.9,0,3278
20110216,-0.6,-5,4.3,0,2908
20110217,0.9,-2,4.7,0,2725
20110218,1.6,-3,7.3,0,3643
20110219,1.4,-2.6,7,0,8358
20110220,5.3,-2.1,12.8,0,10159
20110222,6.2,0.7,13,0,6474
20110223,5.6,0.6,12,0,5878
20110224,6.1,2.8,10.5,0,6004
20110225,2,-0.8,6.3,0,6002
20110226,6.2,-0.4,13.2,0,10724
20110227,4.2,1.8,7.4,0,4869
20110301,0.5,-2.7,3.7,0,11786
20110302,-2.1,-4.2,1.6,0,710
20110303,-2.1,-5.5,2.5,0,719
20110304,0.1,-4.5,6,0,756
20110305,2.1,-1.8,6.8,0,2253
20110306,3.4,1.2,7.4,0,3042
20110308,1.6,-2.3,6.2,0,1410
20110309,0.2,-2.4,4.4,0,1196
20110310,1.4,-3.4,4.9,0,978
20110311,4.6,-0.3,9.8,0,1534
20110312,7.8,1.9,13.4,0,5641
20110313,10.7,8.5,16.2,0,4703
20110315,1.5,-2.3,5.7,0,1481
20110316,-0.4,-3.1,3.2,0,1022
20110317,0.8,-3.5,6.1,0,1130
20110318,5.7,-1.5,12.5,0,1799
20110319,8.8,5.5,13.7,0,3325
20110320,6.9,2.9,11.4,0,1548
20110322,1.8,-1,6.1,0,1522
20110323,2.2,-2.2,7.3,0,1183
20110324,2.9,0.1,8,0,1551
20110325,2.2,-0.8,6.5,0,1043
20110326,3.6,-0.6,8.6,0,5249
20110327,5.1,0.9,9.7,0,3532
20110329,4.8,1.7,9.1,0,1930
20110330,7.3,2.3,13.6,0,1979
20110331,9.2,3.3,16.8,0,1847
20110401,9.1,4.3,14.9,0,1749
20110402,8.9,5.3,12.8,0,3137
20110403,9.6,4.9,15.5,0,4085
20110405,10.7,5.1,17.1,0,3447
20110406,10.6,5.2,16.6,0,1768
20110407,9.6,8.5,10.7,0,572
20110408,11.4,7.4,17.3,0,2146
20110409,9.9,6.8,15,0,5856
20110410,10.8,8.2,14.5,0,3394
20110412,10.2,4.9,15.5,0,4394
20110413,11.3,5.7,17.4,0,2834
20110414,12.4,6.6,18.8,0,2825
20110415,12.2,9.4,19,0,2706
20110416,12.1,5.9,18.4,0,7458
20110417,12,8,18.4,0,5643
20110419,10.8,6.6,16.2,0,5480
20110420,11.2,6.3,16.8,0,3936
20110421,13.5,8,18,0,2981
20110422,8.9,7.4,14.5,0,723
20110423,9.7,6.1,14.2,0,4821
20110424,9.7,6.1,13.9,0,3656
20110426,10.5,9.1,11.4,0,2950
20110427,11.4,8.7,14.2,0,1747
20110428,10.4,7.3,15.3,0,2847
20110429,13.2,7.3,18.4,0,2907
20110430,13,10.6,14.6,0,1486
20110501,12.5,9.9,15.7,0,3004
20110503,15.3,11.9,20.6,0,4696
20110504,15.9,10.6,21.8,0,2619
20110505,17.5,12.7,23.7,0,11041
20110506,15.4,13.2,17.9,0,2799
20110507,14.5,11.5,21.8,0,5101
20110508,17.3,10.3,24.1,0,5424
20110510,16.5,14.5,18.5,0,2793
20110511,17.2,14.4,21.1,0,1591
20110512,15.7,11.5,20.2,0,2957
20110513,14.6,10.3,20.6,0,3977
20110514,17.2,12.1,22.9,0,6825
20110515,17.2,13,22.9,0,6625
20110517,17.5,11.6,22.8,0,4235
20110518,20.5,13.8,25.4,0,2888
20110519,20.7,18.8,23.6,0,2264
20110520,17.5,15.6,20.5,0,1443
20110521,14.5,12.6,17.7,0,3713
20110522,17.3,10.7,23.3,0,4951
20110524,21.5,14.1,28,0,3841
20110525,22.7,16.7,28.2,0,2243
20110526,20.7,17.9,24,0,1826
20110527,20.1,15.6,24.5,0,3285
20110528,22.4,15.7,28.9,0,6665
20110529,24.4,18.4,31.2,0,4029
20110531,18.7,15.4,23.7,0,2265
20110601,18,14.7,21.6,0,1687
20110602,19,15.1,24.7,0,2639
20110603,19,14.4,24.8,0,2234
20110604,18.7,15.8,24.6,0,5524
20110605,20.4,16.1,27.1,0,6591
20110606,20.9,15.3,26.9,0,5401
20110607,20.9,15.9,26.6,0,2415
20110608,22,18.2,27.5,0,1927
20110609,19.4,17.5,22,0,1699
20110610,21.4,17.8,24.3,0,2206
20110611,24,20.6,29.2,0,6870
20110612,23.4,19,30.2,0,4139
20110614,22.8,16.8,29.5,0,2691
20110615,25.2,19.1,31.9,0,2582
20110616,26.5,20.3,32,0,2823
20110617,24.9,22.1,31.3,0,1921
20110618,24.5,20.8,28.9,0,5605
20110619,26.6,20.7,32.9,0,3801
20110621,24.1,19.4,29.6,0,2774
20110622,22.7,20.9,24.9,0,1675
20110623,22,21.2,23.3,0,1080
20110624,19.7,18.6,21.6,0,1417
20110625,18.3,17.5,20,0,3855
20110626,19.2,17.2,21.6,0,1678
20110628,24.1,18.2,29.7,0,3566
20110629,21,19.7,23.3,0,801
20110630,23.8,21,27.9,0,1888
20110701,25.1,22.2,28.6,0,2457
20110702,24.7,22.7,26.8,0,4254
20110703,22.6,20.7,24.8,0,1515
20110705,24.3,19,30.7,0,3447
20110706,25.6,20.4,31.2,0,2278
20110707,22.9,20.9,25.3,0,1326
20110708,22.4,20.6,24.6,0,2318
20110709,23.6,20.8,27.8,0,5478
20110710,24.2,21.4,28.4,0,3666
20110712,22.8,20.9,25.6,0,1731
