year,avgTemp,minTemp,maxTemp,corona,result
20180101,-1,-5,4,0,437
20180102,-2,-4,2,0,364
20180103,-5,-7,0,0,338
20180104,-5,-9,-1,0,290
20180105,-3,-6,2,0,319
20180106,-3,-7,3,0,478
20180107,-1,-6,3,0,410
20180109,-4,-6,-1,0,283
20180110,-8,-10,-5,0,210
20180111,-11,-14,-7,0,185
20180112,-10,-15,-5,0,184
20180113,-4,-7,-1,0,274
20180114,1,-4,5,0,484
20180116,4,0,7,0,269
20180117,5,2,9,0,259
20180118,2,0,5,0,257
20180119,1,-3,6,0,312
20180120,2,-1,7,0,414
20180121,0,-4,6,0,481
20180123,-12,-15,-5,0,147
20180124,-14,-16,-11,0,94
20180125,-14,-16,-10,0,108
20180126,-15,-18,-11,0,123
20180127,-10,-16,-4,0,215
20180128,-6,-9,-1,0,337
20180130,-5,-11,-1,0,282
20180131,-3,-5,0,0,386
20180201,-4,-9,1,0,349
20180202,-2,-8,4,0,248
20180203,-7,-10,-2,0,306
20180204,-10,-13,-5,0,299
20180206,-10,-13,-6,0,212
20180207,-8,-13,-2,0,249
20180208,-4,-10,2,0,302
20180209,0,-5,6,0,249
20180210,-1,-7,3,0,303
20180211,-6,-10,-2,0,351
20180213,-1,-7,4,0,273
20180214,4,-1,9,0,263
20180215,-1,-4,4,0,419
20180216,-1,-6,5,0,604
20180217,-3,-7,1,0,587
20180218,0,-5,5,0,503
20180220,1,-2,6,0,341
20180221,-1,-5,4,0,365
20180222,1,-4,5,0,351
20180223,4,0,9,0,245
20180224,2,-1,7,0,452
20180225,2,-2,8,0,526
20180227,4,1,7,0,350
20180228,5,2,8,0,256
20180301,0,-4,3,0,406
20180302,-1,-7,5,0,315
20180303,8,0,16,0,651
20180304,10,8,12,0,406
20180306,5,-1,11,0,473
20180307,6,2,11,0,419
20180308,5,3,10,0,306
20180309,5,1,10,0,422
20180310,5,1,10,0,562
20180311,6,3,12,0,782
20180313,12,5,19,0,411
20180314,17,14,22,0,498
20180315,12,8,17,0,199
20180316,7,4,12,0,554
20180317,7,1,14,0,793
20180318,8,5,13,0,622
20180320,5,2,9,0,374
20180321,2,1,5,0,256
20180322,5,1,12,0,452
20180323,6,2,13,0,499
20180324,8,4,13,0,472
20180325,10,5,17,0,535
20180327,13,8,20,0,375
20180328,14,9,19,0,501
20180329,15,12,21,0,417
20180330,15,10,22,0,446
20180331,14,9,20,0,677
20180401,16,12,19,0,709
20180403,18,15,21,0,536
20180404,13,10,18,0,437
20180405,8,7,10,0,169
20180406,6,3,9,0,436
20180407,4,1,9,0,458
20180408,4,1,8,0,532
20180410,15,7,22,0,499
20180411,13,9,17,0,482
20180412,13,7,20,0,553
20180413,15,8,19,0,812
20180414,9,8,15,0,225
20180415,10,6,14,0,805
20180417,13,7,20,0,590
20180418,12,6,19,0,633
20180419,14,7,21,0,539
20180420,18,11,26,0,474
20180421,19,12,26,0,736
20180422,16,11,21,0,603
20180424,12,9,16,0,470
20180425,15,6,23,0,752
20180426,15,10,22,0,546
20180427,16,10,23,0,598
20180428,15,11,22,0,825
20180429,16,9,23,0,915
20180501,20,18,23,0,831
20180502,15,9,20,0,276
20180503,11,7,15,0,525
20180504,14,9,20,0,625
20180505,18,12,25,0,1068
20180506,17,15,21,0,404
20180507,19,14,26,0,814
20180508,18,12,23,0,547
20180509,16,9,22,0,572
20180510,15,11,21,0,575
20180511,16,12,21,0,564
20180512,14,12,16,0,249
20180513,16,13,20,0,1037
20180515,23,15,29,0,474
20180516,22,22,24,0,185
20180517,21,19,24,0,127
20180518,16,12,19,0,274
20180519,18,10,25,0,1138
20180520,17,12,23,0,969
20180522,18,15,23,0,1021
20180523,17,14,23,0,629
20180524,18,11,24,0,452
20180525,20,14,26,0,467
20180526,22,14,30,0,844
20180527,20,17,25,0,923
20180529,21,19,26,0,524
20180530,20,16,25,0,874
20180531,21,14,28,0,739
20180601,24,18,30,0,651
20180602,23,18,30,0,849
20180603,24,17,31,0,919
20180605,24,18,29,0,543
20180606,23,18,28,0,1023
20180607,22,18,29,0,500
20180608,22,19,27,0,618
20180609,24,19,30,0,791
20180610,21,18,25,0,805
20180612,21,17,27,0,590
20180613,22,18,27,0,872
20180614,22,19,25,0,313
20180615,22,17,27,0,610
20180616,23,16,29,0,793
20180617,23,19,28,0,852
20180619,22,19,27,0,554
20180620,23,19,28,0,499
20180621,24,19,29,0,567
20180622,25,18,32,0,467
20180623,25,21,29,0,755
20180624,25,20,32,0,549
20180626,22,20,27,0,150
20180627,22,19,26,0,605
20180628,23,21,27,0,516
20180629,25,22,29,0,421
20180630,24,22,28,0,528
20180701,22,21,23,0,244
20180703,27,23,33,0,529
20180704,27,24,32,0,471
20180705,25,23,29,0,463
20180706,24,22,27,0,621
20180707,24,20,29,0,798
20180708,23,18,28,0,867
20180710,24,20,27,0,448
20180711,27,24,30,0,321
20180712,27,25,28,0,480
20180713,27,25,31,0,466
20180714,28,25,32,0,496
20180715,28,25,33,0,528
20180717,28,24,32,0,413
20180718,28,24,33,0,319
20180719,29,23,34,0,440
20180720,30,25,35,0,366
20180721,31,25,37,0,457
20180722,32,25,38,0,422
20180724,31,27,37,0,364
20180725,30,28,34,0,441
20180726,30,27,34,0,337
20180727,31,27,35,0,385
20180728,30,28,35,0,428
20180729,31,26,37,0,466
20180731,33,28,38,0,395
20180801,34,28,40,0,258
20180802,34,30,38,0,350
20180803,33,30,38,0,315
20180804,31,28,35,0,380
20180805,30,27,34,0,397
20180807,31,27,36,0,375
20180808,31,28,35,0,337
20180809,29,27,33,0,359
20180810,31,26,37,0,377
20180811,31,26,36,0,484
20180812,31,27,35,0,468
20180814,32,28,37,0,339
20180815,32,28,38,0,405
20180816,30,24,36,0,398
20180817,27,22,34,0,506
20180818,27,22,32,0,629
20180819,28,23,34,0,595
20180821,27,23,31,0,340
20180822,31,23,38,0,388
20180823,29,26,32,0,319
20180824,24,23,26,0,246
20180825,25,23,29,0,539
20180826,23,20,29,0,654
20180828,24,23,26,0,429
20180829,25,23,27,0,547
20180830,25,24,28,0,377
20180831,26,23,30,0,546
20180901,26,21,31,0,640
20180902,25,20,30,0,748
20180904,23,20,28,0,433
20180905,24,20,29,0,590
20180906,24,21,28,0,822
20180907,22,19,26,0,605
20180908,22,16,28,0,678
20180909,22,16,29,0,801
20180911,22,17,26,0,600
20180912,23,17,28,0,769
20180913,24,20,28,0,625
20180914,24,20,27,0,422
20180915,23,21,26,0,719
20180916,22,21,24,0,461
20180918,22,18,27,0,569
20180919,22,19,27,0,596
20180920,19,18,20,0,265
20180921,19,18,22,0,454
20180922,21,17,26,0,734
20180923,19,16,25,0,901
20180924,18,14,22,0,909
20180925,18,11,24,0,1703
20180926,19,16,25,0,1371
20180927,19,13,25,0,703
20180928,18,14,22,0,641
20180929,20,15,27,0,982
20180930,18,14,22,0,1029
20181002,16,10,22,0,639
20181003,17,11,24,0,1074
20181004,19,13,26,0,610
20181005,17,16,19,0,268
20181006,18,16,22,0,436
20181007,16,12,21,0,1147
20181009,15,11,20,0,1067
20181010,12,8,17,0,598
20181011,10,6,14,0,503
20181012,11,5,17,0,614
20181013,13,6,20,0,845
20181014,13,7,20,0,915
20181016,15,10,20,0,469
20181017,12,8,19,0,588
20181018,13,8,19,0,693
20181019,13,7,20,0,667
20181020,13,7,21,0,1281
20181021,13,7,21,0,968
20181023,12,10,17,0,537
20181024,13,8,19,0,664
20181025,14,7,21,0,760
20181026,12,10,15,0,216
20181027,9,6,12,0,884
20181028,8,5,14,0,532
20181030,6,1,12,0,583
20181031,7,3,13,0,1027
20181101,8,3,15,0,569
20181102,11,4,19,0,688
20181103,11,5,19,0,805
20181104,12,5,19,0,969
20181106,12,8,18,0,490
20181107,13,10,16,0,319
20181108,12,11,15,0,236
20181109,12,10,15,0,335
20181110,12,9,17,0,562
20181111,8,5,11,0,488
20181113,9,4,15,0,624
20181114,10,5,17,0,565
20181115,10,5,16,0,438
20181116,9,4,15,0,368
20181117,5,1,11,0,543
20181118,6,2,11,0,592
20181120,7,0,13,0,412
20181121,6,3,8,0,285
20181122,2,-1,7,0,468
20181123,2,-3,8,0,348
20181124,3,0,4,0,119
20181125,5,1,10,0,147
20181127,7,3,13,0,310
20181128,5,2,11,0,305
20181129,4,1,7,0,283
20181130,3,-2,8,0,228
20181201,6,1,12,0,511
20181202,8,3,12,0,522
20181204,7,0,12,0,247
20181205,0,-4,3,0,290
20181206,2,-1,7,0,395
20181207,-7,-10,-1,0,179
20181208,-8,-11,-4,0,217
20181209,-7,-12,-2,0,299
20181211,0,-2,3,0,276
20181212,-2,-5,2,0,254
20181213,-2,-6,2,0,212
20181214,-4,-8,1,0,226
20181215,-2,-8,3,0,301
20181216,0,-3,2,0,316
20181218,3,-3,7,0,294
20181219,4,1,10,0,280
20181220,3,-1,10,0,269
20181221,6,0,10,0,297
20181222,7,3,12,0,311
20181223,2,-3,8,0,378
20181225,1,-4,5,0,421
20181226,-2,-7,3,0,279
20181227,-10,-13,-7,0,172
20181228,-11,-14,-7,0,120
20181229,-8,-11,-3,0,188
20181230,-7,-11,-1,0,251
20190101,-5,-8,-1,0,413
20190102,-5,-9,0,0,217
20190103,-4,-8,3,0,225
20190104,-1,-6,4,0,263
20190105,-3,-6,1,0,325
20190106,-3,-6,3,0,417
20190108,-4,-7,1,0,275
20190109,-5,-9,1,0,222
20190110,-1,-5,3,0,275
20190111,2,0,7,0,301
20190112,3,-1,8,0,367
20190113,1,-3,8,0,334
