year,avgTemp,minTemp,maxTemp,corona,result
20180101,-1,-5,4,0,489
20180102,-2,-4,2,0,412
20180103,-5,-7,0,0,315
20180104,-5,-9,-1,0,329
20180105,-3,-6,2,0,379
20180106,-3,-7,3,0,436
20180107,-1,-6,3,0,463
20180108,1,-1,4,0,240
20180109,-4,-6,-1,0,223
20180110,-8,-10,-5,0,134
20180111,-11,-14,-7,0,140
20180112,-10,-15,-5,0,386
20180113,-4,-7,-1,0,528
20180114,1,-4,5,0,314
20180115,5,2,8,0,308
20180116,4,0,7,0,293
20180117,5,2,9,0,377
20180118,2,0,5,0,494
20180119,1,-3,6,0,561
20180120,2,-1,7,0,109
20180121,0,-4,6,0,72
20180122,0,-5,4,0,78
20180123,-12,-15,-5,0,66
20180124,-14,-16,-11,0,187
20180125,-14,-16,-10,0,384
20180126,-15,-18,-11,0,246
20180127,-10,-16,-4,0,596
20180128,-6,-9,-1,0,379
20180129,-9,-12,-5,0,348
20180130,-5,-11,-1,0,275
20180131,-3,-5,0,0,293
20180201,-4,-9,1,0,160
20180202,-2,-8,4,0,227
20180203,-7,-10,-2,0,300
20180204,-10,-13,-5,0,279
20180205,-9,-12,-5,0,350
20180206,-10,-13,-6,0,334
20180207,-8,-13,-2,0,392
20180208,-4,-10,2,0,370
20180209,0,-5,6,0,586
20180210,-1,-7,3,0,739
20180211,-6,-10,-2,0,836
20180212,-6,-10,-2,0,1041
20180213,-1,-7,4,0,549
20180214,4,-1,9,0,466
20180215,-1,-4,4,0,484
20180216,-1,-6,5,0,513
20180217,-3,-7,1,0,795
20180218,0,-5,5,0,954
20180219,2,-2,7,0,439
20180220,1,-2,6,0,594
20180221,-1,-5,4,0,511
20180222,1,-4,5,0,503
20180223,4,0,9,0,1520
20180224,2,-1,7,0,651
20180225,2,-2,8,0,880
20180226,3,-3,10,0,794
20180227,4,1,7,0,458
20180228,5,2,8,0,678
20180301,0,-4,3,0,1203
20180302,-1,-7,5,0,1288
20180303,8,0,16,0,972
20180304,10,8,12,0,1388
20180305,6,1,11,0,312
20180306,5,-1,11,0,1009
20180307,6,2,11,0,1696
20180308,5,3,10,0,953
20180309,5,1,10,0,610
20180310,5,1,10,0,241
20180311,6,3,12,0,1150
20180312,8,2,16,0,942
20180313,12,5,19,0,998
20180314,17,14,22,0,1017
20180315,12,8,17,0,692
20180316,7,4,12,0,2477
20180317,7,1,14,0,907
20180318,8,5,13,0,1430
20180319,8,6,10,0,1856
20180320,5,2,9,0,1345
20180321,2,1,5,0,1730
20180322,5,1,12,0,2123
20180323,6,2,13,0,207
20180324,8,4,13,0,715
20180325,10,5,17,0,1056
20180326,11,5,18,0,935
20180327,13,8,20,0,1717
20180328,14,9,19,0,1457
20180329,15,12,21,0,1705
20180330,15,10,22,0,1664
20180331,14,9,20,0,529
20180401,16,12,19,0,1596
20180402,18,15,24,0,1519
20180403,18,15,21,0,1586
20180404,13,10,18,0,1550
20180405,8,7,10,0,1339
20180406,6,3,9,0,2254
20180407,4,1,9,0,1089
20180408,4,1,8,0,949
20180409,8,0,15,0,4042
20180410,15,7,22,0,1585
20180411,13,9,17,0,1515
20180412,13,7,20,0,2267
20180413,15,8,19,0,2256
20180414,9,8,15,0,1434
20180415,10,6,14,0,603
20180416,12,5,19,0,718
20180417,13,7,20,0,1395
20180418,12,6,19,0,2206
20180419,14,7,21,0,960
20180420,18,11,26,0,1932
20180421,19,12,26,0,1462
20180422,16,11,21,0,1554
20180423,9,8,11,0,1613
20180424,12,9,16,0,1247
20180425,15,6,23,0,522
20180426,15,10,22,0,2588
20180427,16,10,23,0,1237
20180428,15,11,22,0,355
20180429,16,9,23,0,414
20180430,19,14,25,0,802
20180501,20,18,23,0,3157
20180502,15,9,20,0,2246
20180503,11,7,15,0,1608
20180504,14,9,20,0,1447
20180505,18,12,25,0,1326
20180506,17,15,21,0,1229
20180507,19,14,26,0,1779
20180508,18,12,23,0,2090
20180509,16,9,22,0,1303
20180510,15,11,21,0,3771
20180511,16,12,21,0,1487
20180512,14,12,16,0,1171
20180513,16,13,20,0,1716
20180514,18,12,25,0,1558
20180515,23,15,29,0,1165
20180516,22,22,24,0,1653
20180517,21,19,24,0,1023
20180518,16,12,19,0,1316
20180519,18,10,25,0,1463
20180520,17,12,23,0,1711
20180521,18,11,24,0,1632
20180522,18,15,23,0,1607
20180523,17,14,23,0,891
20180524,18,11,24,0,1356
20180525,20,14,26,0,2119
20180526,22,14,30,0,1711
20180527,20,17,25,0,1223
20180528,22,16,29,0,1154
20180529,21,19,26,0,1110
20180530,20,16,25,0,1015
20180531,21,14,28,0,1440
20180601,24,18,30,0,1301
20180602,23,18,30,0,157
20180603,24,17,31,0,2872
20180604,23,19,28,0,808
20180605,24,18,29,0,1063
20180606,23,18,28,0,981
20180607,22,18,29,0,216
20180608,22,19,27,0,981
20180609,24,19,30,0,914
20180610,21,18,25,0,703
20180611,20,18,24,0,1242
20180612,21,17,27,0,1855
20180613,22,18,27,0,1760
20180614,22,19,25,0,874
20180615,22,17,27,0,740
