,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,,
0,2011-01-01,3368.409296,25000,4658.1749,9864.794075,3368.409296,3368.409296,3873.446837,3873.446837,3873.446837,0,0,0,0,0,0,0,0,0,2524.72217,2524.72217,2524.72217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524.72217,2524.72217,2524.72217,0,0,0,2544.739903,2544.739903,2544.739903,-1196.015235,-1196.015235,-1196.015235,0,0,0,7241.856133,4297,31.46716004
1,2011-01-02,3366.402704,25000,2872.82528,7980.085112,3366.402704,3366.402704,2146.738761,2146.738761,2146.738761,0,0,0,0,0,0,0,0,0,2058.668487,2058.668487,2058.668487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058.668487,2058.668487,2058.668487,0,0,0,1270.367455,1270.367455,1270.367455,-1182.297182,-1182.297182,-1182.297182,0,0,0,5513.141464,4249,70.2484946
2,2011-01-03,3364.396112,25000,-3869.155752,1077.534932,3364.396112,3364.396112,-4708.152192,-4708.152192,-4708.152192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3541.40691,-3541.40691,-3541.40691,-1166.745282,-1166.745282,-1166.745282,0,0,0,-1343.75608,0,#DIV/0!
3,2011-01-04,3362.389519,25000,-146.8478718,5210.390627,3362.389519,3362.389519,-756.765836,-756.765836,-756.765836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.117858,393.117858,393.117858,-1149.883694,-1149.883694,-1149.883694,0,0,0,2605.623683,3628,71.81983692
4,2011-01-05,3360.382927,25000,-538.6790866,4547.402067,3360.382927,3360.382927,-1346.63824,-1346.63824,-1346.63824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-214.3395425,-214.3395425,-214.3395425,-1132.298697,-1132.298697,-1132.298697,0,0,0,2013.744688,2765,72.82982595
5,2011-01-06,3358.376335,25000,-828.0725959,4201.797678,3358.376335,3358.376335,-1560.474556,-1560.474556,-1560.474556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-445.8541435,-445.8541435,-445.8541435,-1114.620413,-1114.620413,-1114.620413,0,0,0,1797.901779,2288,78.5796232
6,2011-01-07,3356.369743,25000,-295.8660553,4884.886798,3356.369743,3356.369743,-1104.127288,-1104.127288,-1104.127288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.624619287,-6.624619287,-6.624619287,-1097.502669,-1097.502669,-1097.502669,0,0,0,2252.242455,2245,99.67739623
7,2011-01-08,3354.36315,25000,1903.581302,7372.639399,3354.36315,3354.36315,1463.138232,1463.138232,1463.138232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544.739903,2544.739903,2544.739903,-1081.60167,-1081.60167,-1081.60167,0,0,0,4817.501383,5923,81.33549524
8,2011-01-09,3352.356558,25000,1068.137543,6089.267304,3352.356558,3352.356558,202.813277,202.813277,202.813277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.367455,1270.367455,1270.367455,-1067.554178,-1067.554178,-1067.554178,0,0,0,3555.169835,4759,74.70413606
9,2011-01-10,3350.349966,25000,-3873.666693,1397.150224,3350.349966,3350.349966,-4597.362827,-4597.362827,-4597.362827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3541.40691,-3541.40691,-3541.40691,-1055.955917,-1055.955917,-1055.955917,0,0,0,-1247.012861,0,#DIV/0!
10,2011-01-11,3348.343374,25000,52.88341145,5236.86786,3348.343374,3348.343374,-654.2230726,-654.2230726,-654.2230726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.117858,393.117858,393.117858,-1047.340931,-1047.340931,-1047.340931,0,0,0,2694.120301,3265,82.51517002
11,2011-01-12,3346.336782,25000,-586.5155273,4536.184241,3346.336782,3346.336782,-1256.502095,-1256.502095,-1256.502095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-214.3395425,-214.3395425,-214.3395425,-1042.162552,-1042.162552,-1042.162552,0,0,0,2089.834687,2263,92.34797556
12,2011-01-13,3344.330189,25000,-639.8772016,4450.716105,3344.330189,3344.330189,-1486.630781,-1486.630781,-1486.630781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-445.8541435,-445.8541435,-445.8541435,-1040.776638,-1040.776638,-1040.776638,0,0,0,1857.699408,3042,61.06835661
13,2011-01-14,3342.323597,25000,-418.6214517,4915.828996,3342.323597,3342.323597,-1050.052235,-1050.052235,-1050.052235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.62461929,-6.62461929,-6.62461929,-1043.427616,-1043.427616,-1043.427616,0,0,0,2292.271362,3043,75.32932506
14,2011-01-15,3340.317005,25000,2303.035218,7469.204972,3340.317005,3340.317005,1494.50207,1494.50207,1494.50207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544.739903,2544.739903,2544.739903,-1050.237833,-1050.237833,-1050.237833,0,0,0,4834.819075,4594,94.75796528
15,2011-01-16,3338.310413,25000,992.1308108,6100.68604,3338.310413,3338.310413,209.166894,209.166894,209.166894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.367455,1270.367455,1270.367455,-1061.200561,-1061.200561,-1061.200561,0,0,0,3547.477307,2729,70.00816025
16,2011-01-17,3336.30382,25000,-3894.942992,1407.878949,3336.30382,3336.30382,-4617.58385,-4617.58385,-4617.58385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3541.40691,-3541.40691,-3541.40691,-1076.17694,-1076.17694,-1076.17694,0,0,0,-1281.28003,0,#DIV/0!
17,2011-01-18,3334.297228,25000,-52.19898584,5146.789302,3334.297228,3334.297228,-701.7791228,-701.7791228,-701.7791228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.117858,393.117858,393.117858,-1094.896981,-1094.896981,-1094.896981,0,0,0,2632.518105,2731,96.3939255
18,2011-01-19,3332.290636,25000,-415.3240452,4534.78075,3332.290636,3332.290636,-1331.304189,-1331.304189,-1331.304189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-214.3395425,-214.3395425,-214.3395425,-1116.964646,-1116.964646,-1116.964646,0,0,0,2000.986447,2511,79.68882705
19,2011-01-20,3330.284044,25000,-897.5795218,4271.753927,3330.284044,3330.284044,-1587.721043,-1587.721043,-1587.721043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-445.8541435,-445.8541435,-445.8541435,-1141.8669,-1141.8669,-1141.8669,0,0,0,1742.563001,2476,70.37815027
