,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,188.1436474,1100,-6.341967546,276.7039717,188.1436474,188.1436474,-51.33797047,-51.33797047,-51.33797047,0,0,0,0,0,0,0,0,0,249.7065414,249.7065414,249.7065414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.7065414,249.7065414,249.7065414,0,0,0,-201.2922906,-201.2922906,-201.2922906,-99.75222127,-99.75222127,-99.75222127,0,0,0,136.805677
1,2018-01-02,188.122087,1100,122.0985977,405.7151,188.122087,188.122087,75.45254954,75.45254954,75.45254954,0,0,0,0,0,0,0,0,0,175.6537956,175.6537956,175.6537956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.6537956,175.6537956,175.6537956,0,0,0,-2.916156857,-2.916156857,-2.916156857,-97.28508919,-97.28508919,-97.28508919,0,0,0,263.5746366
2,2018-01-03,188.1005266,1100,-3.471127168,265.498348,188.1005266,188.1005266,-59.06641319,-59.06641319,-59.06641319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39516318,35.39516318,35.39516318,-94.46157637,-94.46157637,-94.46157637,0,0,0,129.0341134
3,2018-01-04,188.0789662,1100,-38.41418206,235.7025782,188.0789662,188.0789662,-92.41202617,-92.41202617,-92.41202617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059528241,-1.059528241,-1.059528241,-91.35249793,-91.35249793,-91.35249793,0,0,0,95.66694003
4,2018-01-05,188.0574058,1100,-36.30738079,246.6139837,188.0574058,188.0574058,-90.96710552,-90.96710552,-90.96710552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.932531609,-2.932531609,-2.932531609,-88.03457391,-88.03457391,-88.03457391,0,0,0,97.09030026
5,2018-01-06,188.0358454,1100,38.38717972,318.7968065,188.0358454,188.0358454,-9.874845485,-9.874845485,-9.874845485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71338412,74.71338412,74.71338412,-84.58822961,-84.58822961,-84.58822961,0,0,0,178.1609999
6,2018-01-07,188.0142849,1100,69.50215922,351.5989754,188.0142849,188.0142849,16.9966394,16.9966394,16.9966394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09196002,98.09196002,98.09196002,-81.09532062,-81.09532062,-81.09532062,0,0,0,205.0109243
7,2018-01-08,187.9927245,1100,-230.4455664,42.42425648,187.9927245,187.9927245,-278.9291404,-278.9291404,-278.9291404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201.2922906,-201.2922906,-201.2922906,-77.63684983,-77.63684983,-77.63684983,0,0,0,0
8,2018-01-09,187.9711641,1100,-27.68472146,251.5360882,187.9711641,187.9711641,-77.20689912,-77.20689912,-77.20689912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.916156857,-2.916156857,-2.916156857,-74.29074226,-74.29074226,-74.29074226,0,0,0,110.764265
9,2018-01-10,187.9496037,1100,19.01024072,289.8470811,187.9496037,187.9496037,-35.73457862,-35.73457862,-35.73457862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39516318,35.39516318,35.39516318,-71.1297418,-71.1297418,-71.1297418,0,0,0,152.2150251
10,2018-01-11,187.9280433,1100,-15.06339825,257.271602,187.9280433,187.9280433,-69.27901688,-69.27901688,-69.27901688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059528241,-1.059528241,-1.059528241,-68.21948863,-68.21948863,-68.21948863,0,0,0,118.6490264
11,2018-01-12,187.9064829,1100,-23.86563816,264.5921211,187.9064829,187.9064829,-68.54936239,-68.54936239,-68.54936239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.932531609,-2.932531609,-2.932531609,-65.61683078,-65.61683078,-65.61683078,0,0,0,119.3571205
12,2018-01-13,187.8849224,1100,63.48569717,352.9164766,187.8849224,187.8849224,11.34496926,11.34496926,11.34496926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71338412,74.71338412,74.71338412,-63.36841487,-63.36841487,-63.36841487,0,0,0,199.2298917
13,2018-01-14,187.863362,1100,94.86345622,367.6898112,187.863362,187.863362,36.58236719,36.58236719,36.58236719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09196002,98.09196002,98.09196002,-61.50959283,-61.50959283,-61.50959283,0,0,0,224.4457292
14,2018-01-15,187.8418016,1100,-201.7683028,64.40190622,187.8418016,187.8418016,-261.3559617,-261.3559617,-261.3559617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201.2922906,-201.2922906,-201.2922906,-60.06367113,-60.06367113,-60.06367113,0,0,0,0
15,2018-01-16,187.8202412,1100,-17.31773617,264.1497344,187.8202412,187.8202412,-61.95767539,-61.95767539,-61.95767539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.916156857,-2.916156857,-2.916156857,-59.04151853,-59.04151853,-59.04151853,0,0,0,125.8625658
16,2018-01-17,187.7986808,1100,28.45253046,305.7702295,187.7986808,187.7986808,-23.04637464,-23.04637464,-23.04637464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39516318,35.39516318,35.39516318,-58.44153782,-58.44153782,-58.44153782,0,0,0,164.7523061
17,2018-01-18,187.7771203,1100,-1.197194057,267.4976126,187.7771203,187.7771203,-59.30952381,-59.30952381,-59.30952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059528241,-1.059528241,-1.059528241,-58.24999557,-58.24999557,-58.24999557,0,0,0,128.4675965
18,2018-01-19,187.7555599,1100,-15.4626242,259.3817688,187.7555599,187.7555599,-61.37422546,-61.37422546,-61.37422546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.932531609,-2.932531609,-2.932531609,-58.44169385,-58.44169385,-58.44169385,0,0,0,126.3813345
19,2018-01-20,187.7339995,1100,68.01740206,351.6269821,187.7339995,187.7339995,15.7324266,15.7324266,15.7324266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71338412,74.71338412,74.71338412,-58.98095752,-58.98095752,-58.98095752,0,0,0,203.4664261
20,2018-01-21,187.7124391,1100,93.40069795,363.0913758,187.7124391,187.7124391,38.26905822,38.26905822,38.26905822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09196002,98.09196002,98.09196002,-59.82290181,-59.82290181,-59.82290181,0,0,0,225.9814973
21,2018-01-22,187.6908787,1100,-212.4742667,78.35462684,187.6908787,187.6908787,-262.2072277,-262.2072277,-262.2072277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201.2922906,-201.2922906,-201.2922906,-60.91493708,-60.91493708,-60.91493708,0,0,0,0
22,2018-01-23,187.6693183,1100,-20.82988975,256.4904974,187.6693183,187.6693183,-65.11461787,-65.11461787,-65.11461787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.916156858,-2.916156858,-2.916156858,-62.19846101,-62.19846101,-62.19846101,0,0,0,122.5547004
23,2018-01-24,187.6477578,1100,29.05689698,293.6550857,187.6477578,187.6477578,-28.21552058,-28.21552058,-28.21552058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39516318,35.39516318,35.39516318,-63.61068376,-63.61068376,-63.61068376,0,0,0,159.4322373
24,2018-01-25,187.6261974,1100,-17.46854458,257.1272464,187.6261974,187.6261974,-66.14605662,-66.14605662,-66.14605662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059528242,-1.059528242,-1.059528242,-65.08652838,-65.08652838,-65.08652838,0,0,0,121.4801408
25,2018-01-26,187.604637,1100,-18.81476589,266.8230411,187.604637,187.604637,-69.49307911,-69.49307911,-69.49307911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.932531609,-2.932531609,-2.932531609,-66.56054751,-66.56054751,-66.56054751,0,0,0,118.1115579
26,2018-01-27,187.5830766,1100,53.24087129,335.3379498,187.5830766,187.5830766,6.744586448,6.744586448,6.744586448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71338412,74.71338412,74.71338412,-67.96879767,-67.96879767,-67.96879767,0,0,0,194.327663
27,2018-01-28,187.5615162,1100,79.3344355,351.3955517,187.5615162,187.5615162,28.84134506,28.84134506,28.84134506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09196002,98.09196002,98.09196002,-69.25061496,-69.25061496,-69.25061496,0,0,0,216.4028612
28,2018-01-29,187.5399557,1100,-213.1122944,50.64787796,187.5399557,187.5399557,-271.6425303,-271.6425303,-271.6425303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201.2922906,-201.2922906,-201.2922906,-70.35023965,-70.35023965,-70.35023965,0,0,0,0
29,2018-01-30,187.5183953,1100,-12.88416666,250.9354747,187.5183953,187.5183953,-74.13439979,-74.13439979,-74.13439979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.916156857,-2.916156857,-2.916156857,-71.21824293,-71.21824293,-71.21824293,0,0,0,113.3839955
30,2018-01-31,187.4968348,1100,13.08433397,284.9848969,187.4968348,187.4968348,-36.41755268,-36.41755268,-36.41755268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.39516318,35.39516318,35.39516318,-71.81271586,-71.81271586,-71.81271586,0,0,0,151.0792821
31,2018-02-01,187.4752744,1100,-18.00672479,249.2500243,187.4752744,187.4752744,-73.15971676,-73.15971676,-73.15971676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059528241,-1.059528241,-1.059528241,-72.10018852,-72.10018852,-72.10018852,0,0,0,114.3155576
