,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3283.27691,30000,4760.715372,9728.584065,3283.27691,3283.27691,4005.607608,4005.607608,4005.607608,0,0,0,0,0,0,0,0,0,8466.615277,8466.615277,8466.615277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8466.615277,8466.615277,8466.615277,0,0,0,-1848.869981,-1848.869981,-1848.869981,-2612.137687,-2612.137687,-2612.137687,0,0,0,7288.884518
1,2018-01-02,3295.715151,30000,4233.608189,9148.975351,3295.715151,3295.715151,3342.358585,3342.358585,3342.358585,0,0,0,0,0,0,0,0,0,5471.678162,5471.678162,5471.678162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471.678162,5471.678162,5471.678162,0,0,0,446.1566964,446.1566964,446.1566964,-2575.476273,-2575.476273,-2575.476273,0,0,0,6638.073736
2,2018-01-03,3308.153392,30000,-1674.947633,3352.074926,3308.153392,3308.153392,-2605.653591,-2605.653591,-2605.653591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652312,-81.26652312,-81.26652312,-2524.387068,-2524.387068,-2524.387068,0,0,0,702.4998003
3,2018-01-04,3320.591633,30000,-2619.847484,2424.459608,3320.591633,3320.591633,-3360.411233,-3360.411233,-3360.411233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-2460.011345,-2460.011345,-2460.011345,0,0,0,0
4,2018-01-05,3333.029874,30000,-1704.643227,3179.407305,3333.029874,3333.029874,-2554.859646,-2554.859646,-2554.859646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171.0832054,-171.0832054,-171.0832054,-2383.77644,-2383.77644,-2383.77644,0,0,0,778.1702281
5,2018-01-06,3345.468115,30000,557.012702,5297.904525,3345.468115,3345.468115,-464.5898646,-464.5898646,-464.5898646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.764811,1832.764811,1832.764811,-2297.354676,-2297.354676,-2297.354676,0,0,0,2880.87825
6,2018-01-07,3357.906356,30000,-537.1340966,4547.248511,3357.906356,3357.906356,-1479.918083,-1479.918083,-1479.918083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6980899,722.6980899,722.6980899,-2202.616173,-2202.616173,-2202.616173,0,0,0,1877.988273
7,2018-01-09,3382.782838,30000,-728.395095,4308.932075,3382.782838,3382.782838,-1550.187676,-1550.187676,-1550.187676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1566964,446.1566964,446.1566964,-1996.344372,-1996.344372,-1996.344372,0,0,0,1832.595162
8,2018-01-10,3395.221079,30000,-1083.4302,3999.491444,3395.221079,3395.221079,-1970.326532,-1970.326532,-1970.326532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652312,-81.26652312,-81.26652312,-1889.060009,-1889.060009,-1889.060009,0,0,0,1424.894546
9,2018-01-11,3407.65932,30000,-1881.101526,3290.705812,3407.65932,3407.65932,-2682.24401,-2682.24401,-2682.24401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-1781.844121,-1781.844121,-1781.844121,0,0,0,725.41531
10,2018-01-12,3420.097561,30000,-943.2600468,4001.648267,3420.097561,3420.097561,-1847.823983,-1847.823983,-1847.823983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171.0832054,-171.0832054,-171.0832054,-1676.740777,-1676.740777,-1676.740777,0,0,0,1572.273578
11,2018-01-13,3432.535802,30000,1319.411661,6342.854459,3432.535802,3432.535802,257.0981337,257.0981337,257.0981337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.764811,1832.764811,1832.764811,-1575.666678,-1575.666678,-1575.666678,0,0,0,3689.633935
12,2018-01-14,3444.974043,30000,299.333767,5403.309231,3444.974043,3444.974043,-757.6664661,-757.6664661,-757.6664661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6980899,722.6980899,722.6980899,-1480.364556,-1480.364556,-1480.364556,0,0,0,2687.307577
13,2018-01-16,3469.850525,30000,216.2580217,4900.354049,3469.850525,3469.850525,-866.7833372,-866.7833372,-866.7833372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1566964,446.1566964,446.1566964,-1312.940034,-1312.940034,-1312.940034,0,0,0,2603.067187
14,2018-01-17,3482.288766,30000,-499.5632791,4667.523867,3482.288766,3482.288766,-1324.368919,-1324.368919,-1324.368919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652312,-81.26652312,-81.26652312,-1243.102395,-1243.102395,-1243.102395,0,0,0,2157.919847
15,2018-01-18,3494.727007,30000,-874.1338268,3760.054108,3494.727007,3494.727007,-2083.962472,-2083.962472,-2083.962472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-1183.562584,-1183.562584,-1183.562584,0,0,0,1410.764535
16,2018-01-19,3507.165248,30000,-244.0334797,4724.899269,3507.165248,3507.165248,-1305.815722,-1305.815722,-1305.815722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171.0832054,-171.0832054,-171.0832054,-1134.732517,-1134.732517,-1134.732517,0,0,0,2201.349525
17,2018-01-20,3519.603489,30000,1692.84623,6778.590089,3519.603489,3519.603489,736.0420324,736.0420324,736.0420324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.764811,1832.764811,1832.764811,-1096.722779,-1096.722779,-1096.722779,0,0,0,4255.645521
18,2018-01-21,3532.04173,30000,832.8346753,5602.864691,3532.04173,3532.04173,-346.6528799,-346.6528799,-346.6528799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6980899,722.6980899,722.6980899,-1069.35097,-1069.35097,-1069.35097,0,0,0,3185.38885
19,2018-01-23,3556.918212,30000,569.7614903,5522.052407,3556.918212,3556.918212,-598.2764283,-598.2764283,-598.2764283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1566964,446.1566964,446.1566964,-1044.433125,-1044.433125,-1044.433125,0,0,0,2958.641783
20,2018-01-24,3569.356452,30000,-26.9498658,4818.519366,3569.356452,3569.356452,-1126.50902,-1126.50902,-1126.50902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652312,-81.26652312,-81.26652312,-1045.242497,-1045.242497,-1045.242497,0,0,0,2442.847432
21,2018-01-25,3581.794693,30000,-821.581757,4065.461315,3581.794693,3581.794693,-1953.867347,-1953.867347,-1953.867347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-1053.467458,-1053.467458,-1053.467458,0,0,0,1627.927347
22,2018-01-26,3594.232934,30000,-262.9391533,4870.776024,3594.232934,3594.232934,-1238.927324,-1238.927324,-1238.927324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171.0832054,-171.0832054,-171.0832054,-1067.844119,-1067.844119,-1067.844119,0,0,0,2355.30561
23,2018-01-27,3606.671175,30000,1756.5862,6671.301859,3606.671175,3606.671175,745.7575246,745.7575246,745.7575246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.764811,1832.764811,1832.764811,-1087.007287,-1087.007287,-1087.007287,0,0,0,4352.4287
24,2018-01-28,3619.109416,30000,764.4682974,5702.704175,3619.109416,3619.109416,-386.8378407,-386.8378407,-386.8378407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6980899,722.6980899,722.6980899,-1109.535931,-1109.535931,-1109.535931,0,0,0,3232.271576
25,2018-01-30,3643.985898,30000,489.4419459,5423.620492,3643.985898,3643.985898,-712.843485,-712.843485,-712.843485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1566964,446.1566964,446.1566964,-1159.000181,-1159.000181,-1159.000181,0,0,0,2931.142413
26,2018-01-31,3656.424138,30000,52.66903993,4857.911612,3656.424138,3656.424138,-1264.486917,-1264.486917,-1264.486917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652313,-81.26652313,-81.26652313,-1183.220394,-1183.220394,-1183.220394,0,0,0,2391.937221
27,2018-02-01,3668.862379,30000,-871.06287,4214.1996,3668.862379,3668.862379,-2105.856478,-2105.856478,-2105.856478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-1205.45659,-1205.45659,-1205.45659,0,0,0,1563.005901
28,2018-02-02,3681.300619,30000,-94.04590163,4873.814279,3681.300619,3681.300619,-1395.739169,-1395.739169,-1395.739169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171.0832054,-171.0832054,-171.0832054,-1224.655964,-1224.655964,-1224.655964,0,0,0,2285.56145
29,2018-02-03,3693.73886,30000,1864.807934,6472.536723,3693.73886,3693.73886,592.820306,592.820306,592.820306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.764811,1832.764811,1832.764811,-1239.944505,-1239.944505,-1239.944505,0,0,0,4286.559166
30,2018-02-04,3706.177101,30000,731.310731,5404.962884,3706.177101,3706.177101,-527.9510871,-527.9510871,-527.9510871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6980899,722.6980899,722.6980899,-1250.649177,-1250.649177,-1250.649177,0,0,0,3178.226014
31,2018-02-06,3731.053582,30000,397.4218287,5548.966804,3731.053582,3731.053582,-810.547121,-810.547121,-810.547121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1566964,446.1566964,446.1566964,-1256.703817,-1256.703817,-1256.703817,0,0,0,2920.506461
32,2018-02-07,3743.491822,30000,-158.5179026,4727.216768,3743.491822,3743.491822,-1333.079825,-1333.079825,-1333.079825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.26652313,-81.26652313,-81.26652313,-1251.813302,-1251.813302,-1251.813302,0,0,0,2410.411997
33,2018-02-08,3755.930063,30000,-1075.612904,4154.640508,3755.930063,3755.930063,-2142.251744,-2142.251744,-2142.251744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3998884,-900.3998884,-900.3998884,-1241.851855,-1241.851855,-1241.851855,0,0,0,1613.67832
