,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2011-01-01,3523.135791,45000,4402.357978,10726.33347,3523.135791,3523.135791,3971.441405,3971.441405,3971.441405,0,0,0,0,0,0,0,0,0,4266.533388,4266.533388,4266.533388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4266.533388,4266.533388,4266.533388,0,0,0,1944.810248,1944.810248,1944.810248,-2239.902231,-2239.902231,-2239.902231,0,0,0,7494.577196
1,2011-01-02,3523.433921,45000,2766.732522,9412.483887,3523.433921,3523.433921,2387.718152,2387.718152,2387.718152,0,0,0,0,0,0,0,0,0,3212.277193,3212.277193,3212.277193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212.277193,3212.277193,3212.277193,0,0,0,1409.951277,1409.951277,1409.951277,-2234.510319,-2234.510319,-2234.510319,0,0,0,5911.152073
2,2011-01-03,3523.732051,45000,-5964.803762,505.211715,3523.732051,3523.732051,-6133.11072,-6133.11072,-6133.11072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3909.436137,-3909.436137,-3909.436137,-2223.674583,-2223.674583,-2223.674583,0,0,0,0
3,2011-01-04,3524.030181,45000,-539.5470511,5797.553612,3524.030181,3524.030181,-900.2625464,-900.2625464,-900.2625464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.766565,1307.766565,1307.766565,-2208.029112,-2208.029112,-2208.029112,0,0,0,2623.767634
4,2011-01-05,3524.32831,45000,-1846.196416,4142.22439,3524.32831,3524.32831,-2333.140228,-2333.140228,-2333.140228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144.7715519,-144.7715519,-144.7715519,-2188.368676,-2188.368676,-2188.368676,0,0,0,1191.188083
5,2011-01-06,3524.62644,45000,-2378.33413,3947.878786,3524.62644,3524.62644,-2646.13158,-2646.13158,-2646.13158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-480.5081924,-480.5081924,-480.5081924,-2165.623388,-2165.623388,-2165.623388,0,0,0,878.4948602
6,2011-01-07,3524.92457,45000,-1830.823612,4397.148956,3524.92457,3524.92457,-2268.641002,-2268.641002,-2268.641002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.8122099,-127.8122099,-127.8122099,-2140.828792,-2140.828792,-2140.828792,0,0,0,1256.283568
7,2011-01-08,3525.2227,45000,182.1398123,6642.814311,3525.2227,3525.2227,-170.2821105,-170.2821105,-170.2821105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944.810248,1944.810248,1944.810248,-2115.092359,-2115.092359,-2115.092359,0,0,0,3354.940589
8,2011-01-09,3525.52083,45000,-320.2986015,6204.416781,3525.52083,3525.52083,-679.6061773,-679.6061773,-679.6061773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409.951277,1409.951277,1409.951277,-2089.557455,-2089.557455,-2089.557455,0,0,0,2845.914652
9,2011-01-10,3525.81896,45000,-5497.81118,814.2097249,3525.81896,3525.81896,-5974.802065,-5974.802065,-5974.802065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3909.436137,-3909.436137,-3909.436137,-2065.365928,-2065.365928,-2065.365928,0,0,0,0
10,2011-01-11,3526.117089,45000,-305.6991692,5987.549109,3526.117089,3526.117089,-735.8539345,-735.8539345,-735.8539345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.766565,1307.766565,1307.766565,-2043.6205,-2043.6205,-2043.6205,0,0,0,2790.263155
11,2011-01-12,3526.415219,45000,-1902.447068,4523.567843,3526.415219,3526.415219,-2170.119688,-2170.119688,-2170.119688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144.7715519,-144.7715519,-144.7715519,-2025.348136,-2025.348136,-2025.348136,0,0,0,1356.295531
12,2011-01-13,3526.713349,45000,-2126.976577,4092.356915,3526.713349,3526.713349,-2491.973754,-2491.973754,-2491.973754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-480.5081924,-480.5081924,-480.5081924,-2011.465562,-2011.465562,-2011.465562,0,0,0,1034.739595
13,2011-01-14,3527.011479,45000,-1689.683139,4477.741566,3527.011479,3527.011479,-2130.560198,-2130.560198,-2130.560198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.8122099,-127.8122099,-127.8122099,-2002.747988,-2002.747988,-2002.747988,0,0,0,1396.451281
14,2011-01-15,3527.309609,45000,65.53043209,6603.446723,3527.309609,3527.309609,-54.99180113,-54.99180113,-54.99180113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944.810248,1944.810248,1944.810248,-1999.80205,-1999.80205,-1999.80205,0,0,0,3472.317808
15,2011-01-16,3527.607739,45000,-204.7561556,6026.839253,3527.607739,3527.607739,-593.0925211,-593.0925211,-593.0925211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409.951277,1409.951277,1409.951277,-2003.043799,-2003.043799,-2003.043799,0,0,0,2934.515217
16,2011-01-17,3527.905868,45000,-5565.596045,697.2899215,3527.905868,3527.905868,-5922.118593,-5922.118593,-5922.118593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3909.436137,-3909.436137,-3909.436137,-2012.682456,-2012.682456,-2012.682456,0,0,0,0
17,2011-01-18,3528.203998,45000,-140.5022837,6050.622455,3528.203998,3528.203998,-720.9438843,-720.9438843,-720.9438843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.766565,1307.766565,1307.766565,-2028.71045,-2028.71045,-2028.71045,0,0,0,2807.260114
18,2011-01-19,3528.502128,45000,-1813.960396,4457.033832,3528.502128,3528.502128,-2195.671624,-2195.671624,-2195.671624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144.7715519,-144.7715519,-144.7715519,-2050.900072,-2050.900072,-2050.900072,0,0,0,1332.830504
19,2011-01-20,3528.800258,45000,-2405.506522,4071.126151,3528.800258,3528.800258,-2559.315084,-2559.315084,-2559.315084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-480.5081924,-480.5081924,-480.5081924,-2078.806892,-2078.806892,-2078.806892,0,0,0,969.4851735
20,2011-01-21,3529.098388,45000,-1851.421725,4303.579212,3529.098388,3529.098388,-2239.592068,-2239.592068,-2239.592068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.8122099,-127.8122099,-127.8122099,-2111.779858,-2111.779858,-2111.779858,0,0,0,1289.50632
21,2011-01-22,3529.396517,45000,20.08484307,6318.208646,3529.396517,3529.396517,-204.167566,-204.167566,-204.167566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944.810248,1944.810248,1944.810248,-2148.977814,-2148.977814,-2148.977814,0,0,0,3325.228951
22,2011-01-23,3529.694647,45000,-346.5551901,5507.230443,3529.694647,3529.694647,-779.4406951,-779.4406951,-779.4406951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409.951277,1409.951277,1409.951277,-2189.391973,-2189.391973,-2189.391973,0,0,0,2750.253952
23,2011-01-24,3529.992777,45000,-5718.09112,686.6175823,3529.992777,3529.992777,-6141.309834,-6141.309834,-6141.309834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3909.436137,-3909.436137,-3909.436137,-2231.873697,-2231.873697,-2231.873697,0,0,0,0
