,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,94.73903526,1000,-123.4309601,105.5555865,94.73903526,94.73903526,-103.6076292,-103.6076292,-103.6076292,0,0,0,0,0,0,0,0,0,82.8076231,82.8076231,82.8076231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8076231,82.8076231,82.8076231,0,0,0,-106.5248468,-106.5248468,-106.5248468,-79.89040555,-79.89040555,-79.89040555,0,0,0,0
1,2018-01-02,94.72574206,1000,-45.0948729,176.5349096,94.72574206,94.72574206,-24.8185698,-24.8185698,-24.8185698,0,0,0,0,0,0,0,0,0,68.24890038,68.24890038,68.24890038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.24890038,68.24890038,68.24890038,0,0,0,-13.66118263,-13.66118263,-13.66118263,-79.40628755,-79.40628755,-79.40628755,0,0,0,69.90717226
2,2018-01-03,94.71244886,1000,-102.7550406,120.344939,94.71244886,94.71244886,-87.42167612,-87.42167612,-87.42167612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-78.56754913,-78.56754913,-78.56754913,0,0,0,7.290772737
3,2018-01-04,94.69915566,1000,-98.41580497,130.5165111,94.69915566,94.69915566,-80.09945481,-80.09945481,-80.09945481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.686513243,-2.686513243,-2.686513243,-77.41294157,-77.41294157,-77.41294157,0,0,0,14.59970085
4,2018-01-05,94.68586246,1000,-104.5180143,117.5108435,94.68586246,94.68586246,-91.3440887,-91.3440887,-91.3440887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.35569947,-15.35569947,-15.35569947,-75.98838923,-75.98838923,-75.98838923,0,0,0,3.341773764
5,2018-01-06,94.67256926,1000,-33.16651938,181.9157424,94.67256926,94.67256926,-15.93816381,-15.93816381,-15.93816381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.40744714,58.40744714,58.40744714,-74.34561096,-74.34561096,-74.34561096,0,0,0,78.73440545
6,2018-01-07,94.65927607,1000,4.372335157,222.5328312,94.65927607,94.65927607,16.13431877,16.13431877,16.13431877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.67492199,88.67492199,88.67492199,-72.54060322,-72.54060322,-72.54060322,0,0,0,110.7935948
7,2018-01-08,94.64598287,1000,-182.5247756,32.10656432,94.64598287,94.64598287,-177.1568771,-177.1568771,-177.1568771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.5248468,-106.5248468,-106.5248468,-70.63203032,-70.63203032,-70.63203032,0,0,0,0
8,2018-01-09,94.63268967,1000,-109.6821948,126.9477902,94.63268967,94.63268967,-82.34075167,-82.34075167,-82.34075167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.66118263,-13.66118263,-13.66118263,-68.67956904,-68.67956904,-68.67956904,0,0,0,12.291938
9,2018-01-10,94.61939647,1000,-90.81463667,135.5142682,94.61939647,94.61939647,-75.5963827,-75.5963827,-75.5963827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.854126998,-8.854126998,-8.854126998,-66.7422557,-66.7422557,-66.7422557,0,0,0,19.02301377
