year,avgTemp,minTemp,maxTemp,corona,result
20110101,-6.8,-10.4,-2.9,0,3599
20110102,-5.4,-8.5,-1.2,0,2623
20110104,-3.9,-7.4,-1.7,0,3261
20110105,-4,-7.7,-1.8,0,1723
20110106,-7.6,-9.8,-4.6,0,1626
20110107,-7,-10.6,-2.9,0,1054
20110108,-3.6,-8.2,0.1,0,2130
20110109,-7,-10.3,-0.3,0,1793
20110111,-5.4,-7.8,-2.7,0,1552
20110112,-8.2,-11.1,-4.9,0,1033
20110113,-5.9,-11.1,-0.6,0,1405
20110114,-3.8,-6.9,0.3,0,1285
20110115,-12.2,-15.7,-6.9,0,1496
20110116,-14.5,-17.8,-10.7,0,1065
20110118,-6.7,-10.8,-2.7,0,1912
20110119,-6.6,-10,-3.2,0,1105
20110120,-8.2,-10.5,-4.7,0,1024
20110121,-6.8,-9.7,-3.2,0,1357
20110122,-4.3,-7.1,-0.8,0,2456
20110123,-4.5,-7.1,-2.1,0,1871
20110125,-8.4,-11.9,-4.4,0,2142
20110126,-8.5,-10.7,-5.2,0,1067
20110127,-8.9,-11.5,-5.7,0,1273
20110128,-7.9,-10.5,-4.3,0,1141
20110129,-9.1,-11.5,-5.5,0,1478
20110130,-10.1,-13.6,-5.7,0,1206
20110201,-0.2,-4.2,5,0,1339
20110202,1.3,-2.8,7,0,1932
20110203,1.5,-1.3,4.9,0,9677
20110204,1.2,-0.5,3.5,0,5572
20110205,1.1,-0.8,5.5,0,4364
20110206,0.3,-2.1,2.7,0,2377
20110208,2.9,-0.5,8.5,0,2404
20110209,-1.2,-4.1,2.1,0,1358
20110210,-2.1,-5.6,2.7,0,1697
20110211,-2.9,-6.2,1.8,0,1707
20110212,-5.9,-9.2,-1.8,0,2431
20110213,-4.8,-9,-0.2,0,2431
20110215,-1.8,-5.5,2.9,0,2500
20110216,-0.6,-5,4.3,0,1949
20110217,0.9,-2,4.7,0,1822
20110218,1.6,-3,7.3,0,2415
20110219,1.4,-2.6,7,0,4046
20110220,5.3,-2.1,12.8,0,4880
20110222,6.2,0.7,13,0,4517
20110223,5.6,0.6,12,0,2709
20110224,6.1,2.8,10.5,0,2801
20110225,2,-0.8,6.3,0,2542
20110226,6.2,-0.4,13.2,0,4598
20110227,4.2,1.8,7.4,0,1262
20110301,0.5,-2.7,3.7,0,3676
20110302,-2.1,-4.2,1.6,0,1238
20110303,-2.1,-5.5,2.5,0,1376
20110304,0.1,-4.5,6,0,1606
20110305,2.1,-1.8,6.8,0,3099
20110306,3.4,1.2,7.4,0,3765
20110308,1.6,-2.3,6.2,0,2696
20110309,0.2,-2.4,4.4,0,1850
20110310,1.4,-3.4,4.9,0,1785
20110311,4.6,-0.3,9.8,0,2117
20110312,7.8,1.9,13.4,0,5669
20110313,10.7,8.5,16.2,0,5016
20110315,1.5,-2.3,5.7,0,2886
20110316,-0.4,-3.1,3.2,0,1679
20110317,0.8,-3.5,6.1,0,2214
20110318,5.7,-1.5,12.5,0,2116
20110319,8.8,5.5,13.7,0,3811
20110320,6.9,2.9,11.4,0,3142
20110322,1.8,-1,6.1,0,2506
20110323,2.2,-2.2,7.3,0,2195
20110324,2.9,0.1,8,0,1849
20110325,2.2,-0.8,6.5,0,1914
20110326,3.6,-0.6,8.6,0,5652
20110327,5.1,0.9,9.7,0,4746
20110329,4.8,1.7,9.1,0,4744
20110330,7.3,2.3,13.6,0,2815
20110331,9.2,3.3,16.8,0,2543
20110401,9.1,4.3,14.9,0,2666
20110402,8.9,5.3,12.8,0,3702
20110403,9.6,4.9,15.5,0,5790
20110405,10.7,5.1,17.1,0,5728
20110406,10.6,5.2,16.6,0,2517
20110407,9.6,8.5,10.7,0,1195
20110408,11.4,7.4,17.3,0,3014
20110409,9.9,6.8,15,0,7442
20110410,10.8,8.2,14.5,0,5586
20110412,10.2,4.9,15.5,0,8599
20110413,11.3,5.7,17.4,0,3904
20110414,12.4,6.6,18.8,0,5084
20110415,12.2,9.4,19,0,3822
20110416,12.1,5.9,18.4,0,8223
20110417,12,8,18.4,0,7976
20110419,10.8,6.6,16.2,0,7237
20110420,11.2,6.3,16.8,0,4223
20110421,13.5,8,18,0,5686
20110422,8.9,7.4,14.5,0,1863
20110423,9.7,6.1,14.2,0,7371
20110424,9.7,6.1,13.9,0,5841
20110426,10.5,9.1,11.4,0,6630
20110427,11.4,8.7,14.2,0,3386
20110428,10.4,7.3,15.3,0,5067
20110429,13.2,7.3,18.4,0,4463
20110430,13,10.6,14.6,0,2135
20110501,12.5,9.9,15.7,0,5389
20110503,15.3,11.9,20.6,0,8389
20110504,15.9,10.6,21.8,0,4814
20110505,17.5,12.7,23.7,0,10306
20110506,15.4,13.2,17.9,0,3806
20110507,14.5,11.5,21.8,0,5703
20110508,17.3,10.3,24.1,0,7072
20110510,16.5,14.5,18.5,0,3936
20110511,17.2,14.4,21.1,0,3122
20110512,15.7,11.5,20.2,0,3689
20110513,14.6,10.3,20.6,0,4068
20110514,17.2,12.1,22.9,0,7276
20110515,17.2,13,22.9,0,7227
20110517,17.5,11.6,22.8,0,7255
20110518,20.5,13.8,25.4,0,3825
20110519,20.7,18.8,23.6,0,4258
20110520,17.5,15.6,20.5,0,2913
20110521,14.5,12.6,17.7,0,5601
20110522,17.3,10.7,23.3,0,7619
20110524,21.5,14.1,28,0,6040
20110525,22.7,16.7,28.2,0,3854
20110526,20.7,17.9,24,0,4026
20110527,20.1,15.6,24.5,0,4321
20110528,22.4,15.7,28.9,0,14995
20110529,24.4,18.4,31.2,0,7125
20110531,18.7,15.4,23.7,0,5204
20110601,18,14.7,21.6,0,3239
20110602,19,15.1,24.7,0,3870
20110603,19,14.4,24.8,0,3744
20110604,18.7,15.8,24.6,0,6669
20110605,20.4,16.1,27.1,0,8634
20110606,20.9,15.3,26.9,0,5842
20110607,20.9,15.9,26.6,0,4350
20110608,22,18.2,27.5,0,3851
20110609,19.4,17.5,22,0,2671
20110610,21.4,17.8,24.3,0,2974
20110611,24,20.6,29.2,0,6402
20110612,23.4,19,30.2,0,5926
20110614,22.8,16.8,29.5,0,4297
20110615,25.2,19.1,31.9,0,2976
20110616,26.5,20.3,32,0,3086
20110617,24.9,22.1,31.3,0,3048
20110618,24.5,20.8,28.9,0,5103
20110619,26.6,20.7,32.9,0,5532
20110621,24.1,19.4,29.6,0,4315
20110622,22.7,20.9,24.9,0,2718
20110623,22,21.2,23.3,0,1645
20110624,19.7,18.6,21.6,0,2675
20110625,18.3,17.5,20,0,3139
20110626,19.2,17.2,21.6,0,2605
20110628,24.1,18.2,29.7,0,5419
20110629,21,19.7,23.3,0,1444
20110630,23.8,21,27.9,0,2088
20110701,25.1,22.2,28.6,0,3503
20110702,24.7,22.7,26.8,0,4488
20110703,22.6,20.7,24.8,0,2064
20110705,24.3,19,30.7,0,4845
20110706,25.6,20.4,31.2,0,2821
20110707,22.9,20.9,25.3,0,1722
20110708,22.4,20.6,24.6,0,3332
20110709,23.6,20.8,27.8,0,4429
20110710,24.2,21.4,28.4,0,5539
20110712,22.8,20.9,25.6,0,2862
20110713,24.3,22.5,26.2,0,2516
20110714,23.6,22.3,24.6,0,2373
20110715,23.4,21.6,26,0,2515
20110716,22.8,21.2,25.3,0,2845
20110717,25.1,22.2,29.1,0,5507
