year,avgTemp,minTemp,maxTemp,corona,result
20180101,-1,-5,4,0,3703
20180102,-2,-4,2,0,3519
20180103,-5,-7,0,0,1808
20180104,-5,-9,-1,0,1917
20180105,-3,-6,2,0,2003
20180106,-3,-7,3,0,3073
20180107,-1,-6,3,0,3106
20180108,1,-1,4,0,2475
20180109,-4,-6,-1,0,1475
20180110,-8,-10,-5,0,1390
20180111,-11,-14,-7,0,1116
20180112,-10,-15,-5,0,2511
20180113,-4,-7,-1,0,3297
20180114,1,-4,5,0,2155
20180115,5,2,8,0,1851
20180116,4,0,7,0,1885
20180117,5,2,9,0,1784
20180118,2,0,5,0,3505
20180119,1,-3,6,0,3606
20180120,2,-1,7,0,1878
20180121,0,-4,6,0,742
20180122,0,-5,4,0,899
20180123,-12,-15,-5,0,741
20180124,-14,-16,-11,0,2003
20180125,-14,-16,-10,0,2311
20180126,-15,-18,-11,0,1976
20180127,-10,-16,-4,0,3706
20180128,-6,-9,-1,0,1454
20180129,-9,-12,-5,0,1390
20180130,-5,-11,-1,0,2186
20180131,-3,-5,0,0,1834
20180201,-4,-9,1,0,1749
20180202,-2,-8,4,0,1131
20180203,-7,-10,-2,0,1629
20180204,-10,-13,-5,0,1764
20180205,-9,-12,-5,0,2952
20180206,-10,-13,-6,0,2745
20180207,-8,-13,-2,0,2891
20180208,-4,-10,2,0,1419
20180209,0,-5,6,0,6367
20180210,-1,-7,3,0,19117
20180211,-6,-10,-2,0,13999
20180212,-6,-10,-2,0,8214
20180213,-1,-7,4,0,4232
20180214,4,-1,9,0,2430
20180215,-1,-4,4,0,2290
20180216,-1,-6,5,0,2634
20180217,-3,-7,1,0,4532
20180218,0,-5,5,0,4399
20180219,2,-2,7,0,4766
20180220,1,-2,6,0,2179
20180221,-1,-5,4,0,3522
20180222,1,-4,5,0,2386
20180223,4,0,9,0,6018
20180224,2,-1,7,0,3151
20180225,2,-2,8,0,3366
20180226,3,-3,10,0,2644
20180227,4,1,7,0,1613
20180228,5,2,8,0,2344
20180301,0,-4,3,0,5598
20180302,-1,-7,5,0,5512
20180303,8,0,16,0,4099
20180304,10,8,12,0,3090
20180305,6,1,11,0,1379
20180306,5,-1,11,0,3126
20180307,6,2,11,0,6473
20180308,5,3,10,0,5416
20180309,5,1,10,0,4063
20180310,5,1,10,0,1862
20180311,6,3,12,0,3250
20180312,8,2,16,0,3384
20180313,12,5,19,0,6664
20180314,17,14,22,0,5855
20180315,12,8,17,0,5653
20180316,7,4,12,0,6774
20180317,7,1,14,0,3620
20180318,8,5,13,0,5273
20180319,8,6,10,0,9043
20180320,5,2,9,0,7172
20180321,2,1,5,0,11131
20180322,5,1,12,0,5610
20180323,6,2,13,0,3181
20180324,8,4,13,0,6137
20180325,10,5,17,0,9850
20180326,11,5,18,0,7483
20180327,13,8,20,0,8610
20180328,14,9,19,0,7506
20180329,15,12,21,0,6445
20180330,15,10,22,0,6865
20180331,14,9,20,0,5825
20180401,16,12,19,0,8926
20180402,18,15,24,0,11286
20180403,18,15,21,0,6784
20180404,13,10,18,0,5646
20180405,8,7,10,0,6573
20180406,6,3,9,0,9471
20180407,4,1,9,0,5149
20180408,4,1,8,0,10568
20180409,8,0,15,0,11608
20180410,15,7,22,0,7820
20180411,13,9,17,0,7033
20180412,13,7,20,0,11183
20180413,15,8,19,0,10266
20180414,9,8,15,0,3167
20180415,10,6,14,0,11375
20180416,12,5,19,0,3150
20180417,13,7,20,0,6897
20180418,12,6,19,0,8098
20180419,14,7,21,0,15058
20180420,18,11,26,0,6407
20180421,19,12,26,0,8750
20180422,16,11,21,0,6326
20180423,9,8,11,0,6361
20180424,12,9,16,0,6340
20180425,15,6,23,0,7151
20180426,15,10,22,0,3826
20180427,16,10,23,0,8899
20180428,15,11,22,0,8734
20180429,16,9,23,0,2990
20180430,19,14,25,0,4246
20180501,20,18,23,0,5207
20180502,15,9,20,0,11085
20180503,11,7,15,0,9550
20180504,14,9,20,0,7517
20180505,18,12,25,0,4012
20180506,17,15,21,0,4206
20180507,19,14,26,0,5372
20180508,18,12,23,0,6831
20180509,16,9,22,0,6187
20180510,15,11,21,0,6595
20180511,16,12,21,0,6365
20180512,14,12,16,0,4157
20180513,16,13,20,0,4362
20180514,18,12,25,0,5371
20180515,23,15,29,0,4846
20180516,22,22,24,0,5294
20180517,21,19,24,0,5480
20180518,16,12,19,0,2959
20180519,18,10,25,0,3918
20180520,17,12,23,0,5745
20180521,18,11,24,0,5223
20180522,18,15,23,0,5450
20180523,17,14,23,0,4701
20180524,18,11,24,0,2515
20180525,20,14,26,0,3513
20180526,22,14,30,0,6255
20180527,20,17,25,0,4944
20180528,22,16,29,0,5559
20180529,21,19,26,0,6020
20180530,20,16,25,0,3031
20180531,21,14,28,0,2610
20180601,24,18,30,0,5154
20180602,23,18,30,0,3988
20180603,24,17,31,0,1571
20180604,23,19,28,0,4986
20180605,24,18,29,0,2544
20180606,23,18,28,0,3072
20180607,22,18,29,0,3654
20180608,22,19,27,0,1146
20180609,24,19,30,0,4341
20180610,21,18,25,0,2657
20180611,20,18,24,0,2395
20180612,21,17,27,0,3460
20180613,22,18,27,0,5029
20180614,22,19,25,0,4532
20180615,22,17,27,0,3544
20180616,23,16,29,0,2325
20180617,23,19,28,0,2358
20180618,25,20,31,0,2368
20180619,22,19,27,0,4093
20180620,23,19,28,0,3150
20180621,24,19,29,0,3558
20180622,25,18,32,0,1884
20180623,25,21,29,0,1674
20180624,25,20,32,0,1580
20180625,27,21,33,0,2533
20180626,22,20,27,0,2044
20180627,22,19,26,0,2651
20180628,23,21,27,0,2214
20180629,25,22,29,0,1606
20180630,24,22,28,0,1793
20180701,22,21,23,0,2234
20180702,23,21,25,0,2796
20180703,27,23,33,0,3683
20180704,27,24,32,0,1647
20180705,25,23,29,0,1788
20180706,24,22,27,0,2188
20180707,24,20,29,0,2578
20180708,23,18,28,0,2366
20180709,21,20,24,0,3752
20180710,24,20,27,0,2042
20180711,27,24,30,0,2167
20180712,27,25,28,0,2426
20180713,27,25,31,0,3035
20180714,28,25,32,0,3171
20180715,28,25,33,0,4838
20180716,29,24,34,0,2846
20180717,28,24,32,0,2108
20180718,28,24,33,0,2443
20180719,29,23,34,0,4415
20180720,30,25,35,0,3616
20180721,31,25,37,0,4096
20180722,32,25,38,0,2484
20180723,32,29,36,0,1324
20180724,31,27,37,0,989
20180725,30,28,34,0,4629
20180726,30,27,34,0,3851
20180727,31,27,35,0,2646
20180728,30,28,35,0,2755
20180729,31,26,37,0,2370
20180730,32,26,37,0,2515
20180731,33,28,38,0,4640
20180801,34,28,40,0,4680
20180802,34,30,38,0,5617
20180803,33,30,38,0,2994
20180804,31,28,35,0,3539
20180805,30,27,34,0,3363
20180806,31,28,35,0,5839
20180807,31,27,36,0,5282
20180808,31,28,35,0,5963
20180809,29,27,33,0,3601
20180810,31,26,37,0,3763
20180811,31,26,36,0,3935
20180812,31,27,35,0,5955
20180813,31,27,34,0,4563
20180814,32,28,37,0,7025
20180815,32,28,38,0,3504
20180816,30,24,36,0,2015
20180817,27,22,34,0,2198
20180818,27,22,32,0,9141
20180819,28,23,34,0,12585
20180820,29,25,33,0,32273
20180821,27,23,31,0,45828
20180822,31,23,38,0,24709
20180823,29,26,32,0,2940
20180824,24,23,26,0,3915
20180825,25,23,29,0,7001
20180826,23,20,29,0,6259
20180827,23,20,25,0,6771
20180828,24,23,26,0,9202
20180829,25,23,27,0,5504
20180830,25,24,28,0,2031
20180831,26,23,30,0,3936
20180901,26,21,31,0,9186
20180902,25,20,30,0,9839
20180903,23,21,26,0,4353
20180904,23,20,28,0,4817
20180905,24,20,29,0,6073
20180906,24,21,28,0,10153
20180907,22,19,26,0,8319
20180908,22,16,28,0,12267
20180909,22,16,29,0,8083
20180910,23,19,28,0,7218
20180911,22,17,26,0,10521
20180912,23,17,28,0,15218
20180913,24,20,28,0,13862
20180914,24,20,27,0,10692
20180915,23,21,26,0,10317
20180916,22,21,24,0,10538
20180917,22,19,28,0,6173
20180918,22,18,27,0,17043
20180919,22,19,27,0,11171
20180920,19,18,20,0,12774
20180921,19,18,22,0,17567
20180922,21,17,26,0,9602
20180923,19,16,25,0,10953
20180924,18,14,22,0,17072
20180925,18,11,24,0,16137
20180926,19,16,25,0,11139
20180927,19,13,25,0,6485
20180928,18,14,22,0,3952
20180929,20,15,27,0,9050
20180930,18,14,22,0,12977
20181001,15,13,20,0,10189
20181002,16,10,22,0,9860
20181003,17,11,24,0,6166
20181004,19,13,26,0,6158
20181005,17,16,19,0,5486
20181006,18,16,22,0,9100
20181007,16,12,21,0,8222
20181008,15,9,21,0,6058
20181009,15,11,20,0,2762
20181010,12,8,17,0,9055
20181011,10,6,14,0,3751
20181012,11,5,17,0,4626
20181013,13,6,20,0,4862
20181014,13,7,20,0,4447
20181015,15,11,21,0,4270
20181016,15,10,20,0,2459
20181017,12,8,19,0,2603
20181018,13,8,19,0,4734
20181019,13,7,20,0,4085
20181020,13,7,21,0,3570
20181021,13,7,21,0,1746
20181022,14,9,21,0,1974
20181023,12,10,17,0,1942
20181024,13,8,19,0,2649
20181025,14,7,21,0,2449
20181026,12,10,15,0,3040
20181027,9,6,12,0,1839
20181028,8,5,14,0,2062
20181029,7,3,12,0,1671
20181030,6,1,12,0,3746
20181031,7,3,13,0,2768
20181101,8,3,15,0,3457
20181102,11,4,19,0,1898
20181103,11,5,19,0,1977
20181104,12,5,19,0,2316
20181105,12,7,18,0,4176
20181106,12,8,18,0,4099
20181107,13,10,16,0,4259
20181108,12,11,15,0,3591
20181109,12,10,15,0,1528
20181110,12,9,17,0,2026
20181111,8,5,11,0,2725
20181112,8,3,15,0,3768
20181113,9,4,15,0,1893
