year,avgTemp,minTemp,maxTemp,corona,result
20110101,-6.8,-10.4,-2.9,0,9966
20110102,-5.4,-8.5,-1.2,0,7871
20110103,-4.5,-8.5,-0.3,0,10553
20110104,-3.9,-7.4,-1.7,0,7928
20110105,-4,-7.7,-1.8,0,5056
20110106,-7.6,-9.8,-4.6,0,4571
20110107,-7,-10.6,-2.9,0,3567
20110108,-3.6,-8.2,0.1,0,3456
20110109,-7,-10.3,-0.3,0,11614
20110110,-8.2,-11.8,-4.6,0,5559
20110111,-5.4,-7.8,-2.7,0,7395
20110112,-8.2,-11.1,-4.9,0,3369
20110113,-5.9,-11.1,-0.6,0,4448
20110114,-3.8,-6.9,0.3,0,4850
20110115,-12.2,-15.7,-6.9,0,12437
20110116,-14.5,-17.8,-10.7,0,8078
20110117,-9.7,-14.1,-4.8,0,6187
20110118,-6.7,-10.8,-2.7,0,5731
20110119,-6.6,-10,-3.2,0,4620
20110120,-8.2,-10.5,-4.7,0,3042
20110121,-6.8,-9.7,-3.2,0,7351
20110122,-4.3,-7.1,-0.8,0,6165
20110123,-4.5,-7.1,-2.1,0,38481
20110124,-8.8,-10.9,-5.8,0,16871
20110125,-8.4,-11.9,-4.4,0,8359
20110126,-8.5,-10.7,-5.2,0,8543
20110127,-8.9,-11.5,-5.7,0,10143
20110128,-7.9,-10.5,-4.3,0,15333
20110129,-9.1,-11.5,-5.5,0,13426
20110130,-10.1,-13.6,-5.7,0,7672
20110131,-6.2,-12.7,-1.8,0,7066
20110201,-0.2,-4.2,5,0,5993
20110202,1.3,-2.8,7,0,6313
20110203,1.5,-1.3,4.9,0,7922
20110204,1.2,-0.5,3.5,0,9324
20110205,1.1,-0.8,5.5,0,7043
20110206,0.3,-2.1,2.7,0,5728
20110207,0.3,-2.8,4.2,0,5050
20110208,2.9,-0.5,8.5,0,2556
20110209,-1.2,-4.1,2.1,0,17998
20110210,-2.1,-5.6,2.7,0,8264
20110211,-2.9,-6.2,1.8,0,5229
20110212,-5.9,-9.2,-1.8,0,4729
20110213,-4.8,-9,-0.2,0,5255
20110214,-3.4,-6.7,-0.2,0,4464
20110215,-1.8,-5.5,2.9,0,8252
20110216,-0.6,-5,4.3,0,7995
20110217,0.9,-2,4.7,0,6313
20110218,1.6,-3,7.3,0,8855
20110219,1.4,-2.6,7,0,5542
20110220,5.3,-2.1,12.8,0,6435
20110221,6.2,1.4,12.3,0,9732
20110222,6.2,0.7,13,0,9514
20110223,5.6,0.6,12,0,4850
20110224,6.1,2.8,10.5,0,6950
20110225,2,-0.8,6.3,0,3189
20110226,6.2,-0.4,13.2,0,5166
20110227,4.2,1.8,7.4,0,8318
20110228,2.8,1,4.8,0,9030
20110301,0.5,-2.7,3.7,0,5884
20110302,-2.1,-4.2,1.6,0,6647
20110303,-2.1,-5.5,2.5,0,6132
20110304,0.1,-4.5,6,0,4144
20110305,2.1,-1.8,6.8,0,22041
20110306,3.4,1.2,7.4,0,8660
20110307,1.6,-1.2,5.8,0,6535
20110308,1.6,-2.3,6.2,0,5615
20110309,0.2,-2.4,4.4,0,5365
20110310,1.4,-3.4,4.9,0,7611
20110311,4.6,-0.3,9.8,0,11678
20110312,7.8,1.9,13.4,0,8696
20110313,10.7,8.5,16.2,0,9312
20110314,6.7,4.4,10.3,0,8223
20110315,1.5,-2.3,5.7,0,9354
20110316,-0.4,-3.1,3.2,0,7644
20110317,0.8,-3.5,6.1,0,18346
20110318,5.7,-1.5,12.5,0,12663
20110319,8.8,5.5,13.7,0,9912
20110320,6.9,2.9,11.4,0,11426
20110321,8,3.8,13,0,14809
20110322,1.8,-1,6.1,0,10829
20110323,2.2,-2.2,7.3,0,10882
20110324,2.9,0.1,8,0,12113
20110325,2.2,-0.8,6.5,0,12558
20110326,3.6,-0.6,8.6,0,12644
20110327,5.1,0.9,9.7,0,16519
20110328,5.2,3.1,8.4,0,13136
20110329,4.8,1.7,9.1,0,23072
20110330,7.3,2.3,13.6,0,17550
20110331,9.2,3.3,16.8,0,16130
20110401,9.1,4.3,14.9,0,12886
20110402,8.9,5.3,12.8,0,21629
20110403,9.6,4.9,15.5,0,16564
20110404,10.1,4.5,16.7,0,14765
20110405,10.7,5.1,17.1,0,11923
20110406,10.6,5.2,16.6,0,12971
20110407,9.6,8.5,10.7,0,15089
20110408,11.4,7.4,17.3,0,24128
20110409,9.9,6.8,15,0,15061
20110410,10.8,8.2,14.5,0,21246
20110411,10.4,6,15.4,0,9650
20110412,10.2,4.9,15.5,0,14948
20110413,11.3,5.7,17.4,0,14852
20110414,12.4,6.6,18.8,0,13929
20110415,12.2,9.4,19,0,15066
20110416,12.1,5.9,18.4,0,14740
20110417,12,8,18.4,0,20390
20110418,6.7,5.8,10.7,0,15212
20110419,10.8,6.6,16.2,0,31254
20110420,11.2,6.3,16.8,0,11398
20110421,13.5,8,18,0,10471
20110422,8.9,7.4,14.5,0,8593
20110423,9.7,6.1,14.2,0,11996
20110424,9.7,6.1,13.9,0,12144
20110425,11.3,7.2,15.7,0,10433
20110426,10.5,9.1,11.4,0,13673
20110427,11.4,8.7,14.2,0,10986
20110428,10.4,7.3,15.3,0,7250
20110429,13.2,7.3,18.4,0,5507
20110430,13,10.6,14.6,0,8746
20110501,12.5,9.9,15.7,0,10529
20110502,14.2,8.5,20.7,0,10540
20110503,15.3,11.9,20.6,0,10869
20110504,15.9,10.6,21.8,0,9601
20110505,17.5,12.7,23.7,0,26003
20110506,15.4,13.2,17.9,0,9106
20110507,14.5,11.5,21.8,0,6561
20110508,17.3,10.3,24.1,0,8761
20110509,17.6,14.6,22,0,4378
20110510,16.5,14.5,18.5,0,10796
20110511,17.2,14.4,21.1,0,7251
20110512,15.7,11.5,20.2,0,7128
20110513,14.6,10.3,20.6,0,7405
20110514,17.2,12.1,22.9,0,8387
20110515,17.2,13,22.9,0,5447
20110516,16.4,10.9,22.2,0,11212
20110517,17.5,11.6,22.8,0,6825
20110518,20.5,13.8,25.4,0,6196
20110519,20.7,18.8,23.6,0,4963
20110520,17.5,15.6,20.5,0,5038
20110521,14.5,12.6,17.7,0,4999
20110522,17.3,10.7,23.3,0,13671
20110523,19.5,15.3,25.9,0,7948
20110524,21.5,14.1,28,0,4383
20110525,22.7,16.7,28.2,0,4837
20110526,20.7,17.9,24,0,6054
20110527,20.1,15.6,24.5,0,5874
20110528,22.4,15.7,28.9,0,4018
20110529,24.4,18.4,31.2,0,10820
20110530,22.7,18.6,28.1,0,9054
20110531,18.7,15.4,23.7,0,4696
20110601,18,14.7,21.6,0,5180
20110602,19,15.1,24.7,0,5966
20110603,19,14.4,24.8,0,20602
20110604,18.7,15.8,24.6,0,6738
20110605,20.4,16.1,27.1,0,6691
20110606,20.9,15.3,26.9,0,4341
20110607,20.9,15.9,26.6,0,2910
20110608,22,18.2,27.5,0,4882
20110609,19.4,17.5,22,0,8557
20110610,21.4,17.8,24.3,0,8693
20110611,24,20.6,29.2,0,7841
20110612,23.4,19,30.2,0,4292
20110613,21,16.6,26.9,0,1485
20110614,22.8,16.8,29.5,0,6625
20110615,25.2,19.1,31.9,0,24694
20110616,26.5,20.3,32,0,3063
20110617,24.9,22.1,31.3,0,7781
20110618,24.5,20.8,28.9,0,5503
20110619,26.6,20.7,32.9,0,5367
20110620,26.6,22.7,32,0,5336
20110621,24.1,19.4,29.6,0,5768
20110622,22.7,20.9,24.9,0,9535
20110623,22,21.2,23.3,0,6437
