year,avgTemp,minTemp,maxTemp,corona,result
20180101,-1,-5,4,0,24
20180102,-2,-4,2,0,16
20180103,-5,-7,0,0,10
20180104,-5,-9,-1,0,13
20180105,-3,-6,2,0,21
20180106,-3,-7,3,0,40
20180107,-1,-6,3,0,27
20180109,-4,-6,-1,0,26
20180110,-8,-10,-5,0,18
20180111,-11,-14,-7,0,25
20180112,-10,-15,-5,0,7
20180113,-4,-7,-1,0,31
20180114,1,-4,5,0,51
20180116,4,0,7,0,31
20180117,5,2,9,0,34
20180118,2,0,5,0,31
20180119,1,-3,6,0,13
20180120,2,-1,7,0,55
20180121,0,-4,6,0,34
20180123,-12,-15,-5,0,24
20180124,-14,-16,-11,0,21
20180125,-14,-16,-10,0,31
20180126,-15,-18,-11,0,6
20180127,-10,-16,-4,0,27
20180128,-6,-9,-1,0,31
20180130,-5,-11,-1,0,32
20180131,-3,-5,0,0,126
20180201,-4,-9,1,0,32
20180202,-2,-8,4,0,13
20180203,-7,-10,-2,0,29
20180204,-10,-13,-5,0,15
20180206,-10,-13,-6,0,23
20180207,-8,-13,-2,0,30
20180208,-4,-10,2,0,24
20180209,0,-5,6,0,9
20180210,-1,-7,3,0,53
20180211,-6,-10,-2,0,20
20180213,-1,-7,4,0,17
20180214,4,-1,9,0,16
20180215,-1,-4,4,0,73
20180216,-1,-6,5,0,184
20180217,-3,-7,1,0,139
20180218,0,-5,5,0,72
20180220,1,-2,6,0,44
20180221,-1,-5,4,0,35
20180222,1,-4,5,0,46
20180223,4,0,9,0,17
20180224,2,-1,7,0,74
20180225,2,-2,8,0,65
20180227,4,1,7,0,38
20180228,5,2,8,0,42
20180301,0,-4,3,0,35
20180302,-1,-7,5,0,17
20180303,8,0,16,0,152
20180304,10,8,12,0,73
20180306,5,-1,11,0,67
20180307,6,2,11,0,32
20180308,5,3,10,0,37
20180309,5,1,10,0,28
20180310,5,1,10,0,100
20180311,6,3,12,0,107
20180313,12,5,19,0,54
20180314,17,14,22,0,80
20180315,12,8,17,0,5
20180316,7,4,12,0,74
20180317,7,1,14,0,214
