,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2011-01-01,8753.957561,80000,11145.34225,27991.34872,8753.957561,8753.957561,11016.1806,11016.1806,11016.1806,0,0,0,0,0,0,0,0,0,10727.19188,10727.19188,10727.19188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10727.19188,10727.19188,10727.19188,0,0,0,5233.809199,5233.809199,5233.809199,-4944.820486,-4944.820486,-4944.820486,0,0,0,19770.13816
1,2011-01-02,8759.099066,80000,7713.331696,25299.29241,8759.099066,8759.099066,7179.181415,7179.181415,7179.181415,0,0,0,0,0,0,0,0,0,9319.37218,9319.37218,9319.37218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9319.37218,9319.37218,9319.37218,0,0,0,2915.853385,2915.853385,2915.853385,-5056.04415,-5056.04415,-5056.04415,0,0,0,15938.28048
2,2011-01-03,8764.240571,80000,-6259.649057,11343.58231,8764.240571,8764.240571,-5702.263621,-5702.263621,-5702.263621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-5162.943916,-5162.943916,-5162.943916,0,0,0,3061.97695
3,2011-01-05,8774.523581,80000,-4063.364796,12892.88627,8774.523581,8774.523581,-3877.227429,-3877.227429,-3877.227429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.243769,1480.243769,1480.243769,-5357.471198,-5357.471198,-5357.471198,0,0,0,4897.296153
4,2011-01-06,8779.665087,80000,-4841.178877,12706.21422,8779.665087,8779.665087,-4833.06893,-4833.06893,-4833.06893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.1718887,609.1718887,609.1718887,-5442.240819,-5442.240819,-5442.240819,0,0,0,3946.596157
5,2011-01-07,8784.806592,80000,-4907.231088,12295.67395,8784.806592,8784.806592,-5332.152659,-5332.152659,-5332.152659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8746888,184.8746888,184.8746888,-5517.027348,-5517.027348,-5517.027348,0,0,0,3452.653933
6,2011-01-08,8789.948097,80000,215.2079168,16895.81517,8789.948097,8789.948097,-347.0050942,-347.0050942,-347.0050942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233.809199,5233.809199,5233.809199,-5580.814293,-5580.814293,-5580.814293,0,0,0,8442.943003
7,2011-01-09,8795.089602,80000,-2593.261124,14785.90904,8795.089602,8795.089602,-2716.932405,-2716.932405,-2716.932405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.853385,2915.853385,2915.853385,-5632.785789,-5632.785789,-5632.785789,0,0,0,6078.157198
8,2011-01-10,8800.231108,80000,-6041.934516,11271.9903,8800.231108,8800.231108,-6211.658381,-6211.658381,-6211.658381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-5672.338676,-5672.338676,-5672.338676,0,0,0,2588.572727
9,2011-01-12,8810.514118,80000,-3796.918165,13458.59121,8810.514118,8810.514118,-4232.63139,-4232.63139,-4232.63139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.243769,1480.243769,1480.243769,-5712.875159,-5712.875159,-5712.875159,0,0,0,4577.882728
10,2011-01-13,8815.655623,80000,-3932.177712,12336.02207,8815.655623,8815.655623,-5104.579251,-5104.579251,-5104.579251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.1718887,609.1718887,609.1718887,-5713.751139,-5713.751139,-5713.751139,0,0,0,3711.076373
11,2011-01-14,8820.797129,80000,-5426.455589,12221.76198,8820.797129,8820.797129,-5517.106523,-5517.106523,-5517.106523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8746888,184.8746888,184.8746888,-5701.981212,-5701.981212,-5701.981212,0,0,0,3303.690605
12,2011-01-15,8825.938634,80000,-1249.453343,16810.61813,8825.938634,8825.938634,-444.2161684,-444.2161684,-444.2161684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233.809199,5233.809199,5233.809199,-5678.025367,-5678.025367,-5678.025367,0,0,0,8381.722466
13,2011-01-16,8831.080139,80000,-2943.698765,14937.61762,8831.080139,8831.080139,-2726.669237,-2726.669237,-2726.669237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.853385,2915.853385,2915.853385,-5642.522622,-5642.522622,-5642.522622,0,0,0,6104.410902
14,2011-01-17,8836.221644,80000,-6465.060239,11341.82308,8836.221644,8836.221644,-6135.590274,-6135.590274,-6135.590274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-5596.270569,-5596.270569,-5596.270569,0,0,0,2700.63137
15,2011-01-19,8846.504655,80000,-3918.811832,13147.87657,8846.504655,8846.504655,-3995.116533,-3995.116533,-3995.116533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.243769,1480.243769,1480.243769,-5475.360303,-5475.360303,-5475.360303,0,0,0,4851.388122
16,2011-01-20,8851.64616,80000,-4352.071541,12658.64288,8851.64616,8851.64616,-4793.699486,-4793.699486,-4793.699486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.1718887,609.1718887,609.1718887,-5402.871374,-5402.871374,-5402.871374,0,0,0,4057.946675
17,2011-01-21,8856.787665,80000,-5074.93442,12303.18079,8856.787665,8856.787665,-5139.043148,-5139.043148,-5139.043148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8746887,184.8746887,184.8746887,-5323.917836,-5323.917836,-5323.917836,0,0,0,3717.744518
18,2011-01-22,8861.929171,80000,-131.175652,17420.9286,8861.929171,8861.929171,-5.902062138,-5.902062138,-5.902062138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233.809199,5233.809199,5233.809199,-5239.711261,-5239.711261,-5239.711261,0,0,0,8856.027109
19,2011-01-23,8867.070676,80000,-1678.682222,15548.54264,8867.070676,8867.070676,-2235.61277,-2235.61277,-2235.61277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.853385,2915.853385,2915.853385,-5151.466155,-5151.466155,-5151.466155,0,0,0,6631.457906
20,2011-01-24,8872.212181,80000,-5478.746527,11978.95396,8872.212181,8872.212181,-5599.695061,-5599.695061,-5599.695061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-5060.375356,-5060.375356,-5060.375356,0,0,0,3272.51712
21,2011-01-26,8882.495192,80000,-2372.675095,14080.63925,8882.495192,8882.495192,-3393.943965,-3393.943965,-3393.943965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.243769,1480.243769,1480.243769,-4874.187735,-4874.187735,-4874.187735,0,0,0,5488.551226
22,2011-01-27,8887.636697,80000,-4080.414007,13363.14613,8887.636697,8887.636697,-4172.008204,-4172.008204,-4172.008204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.1718887,609.1718887,609.1718887,-4781.180093,-4781.180093,-4781.180093,0,0,0,4715.628493
23,2011-01-28,8892.778202,80000,-4125.22618,12532.76264,8892.778202,8892.778202,-4504.600503,-4504.600503,-4504.600503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.8746888,184.8746888,184.8746888,-4689.475191,-4689.475191,-4689.475191,0,0,0,4388.177699
24,2011-01-29,8897.919707,80000,910.6552605,18145.84836,8897.919707,8897.919707,633.9291006,633.9291006,633.9291006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233.809199,5233.809199,5233.809199,-4599.880098,-4599.880098,-4599.880098,0,0,0,9531.848808
25,2011-01-30,8903.061213,80000,-1873.069138,16252.94988,8903.061213,8903.061213,-1597.23907,-1597.23907,-1597.23907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.853385,2915.853385,2915.853385,-4513.092455,-4513.092455,-4513.092455,0,0,0,7305.822143
26,2011-01-31,8908.202718,80000,-4792.766431,12344.49298,8908.202718,8908.202718,-4969.017855,-4969.017855,-4969.017855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-4429.69815,-4429.69815,-4429.69815,0,0,0,3939.184863
27,2011-02-02,8918.485728,80000,8700.512991,25196.70997,8918.485728,8918.485728,7932.551064,7932.551064,7932.551064,0,0,0,0,0,0,0,0,0,10727.19188,10727.19188,10727.19188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10727.19188,10727.19188,10727.19188,0,0,0,1480.243769,1480.243769,1480.243769,-4274.884588,-4274.884588,-4274.884588,0,0,0,16851.03679
28,2011-02-03,8923.627234,80000,17050.12115,33831.67398,8923.627234,8923.627234,16451.63129,16451.63129,16451.63129,0,0,0,0,0,0,0,0,0,20046.56406,20046.56406,20046.56406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20046.56406,20046.56406,20046.56406,0,0,0,609.1718887,609.1718887,609.1718887,-4204.104661,-4204.104661,-4204.104661,0,0,0,25375.25852
29,2011-02-04,8928.768739,80000,16784.10234,33250.96393,8928.768739,8928.768739,16093.42503,16093.42503,16093.42503,0,0,0,0,0,0,0,0,0,20046.56406,20046.56406,20046.56406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20046.56406,20046.56406,20046.56406,0,0,0,184.8746887,184.8746887,184.8746887,-4138.013722,-4138.013722,-4138.013722,0,0,0,25022.19377
30,2011-02-05,8933.910244,80000,10953.90748,28074.82475,8933.910244,8933.910244,10476.46616,10476.46616,10476.46616,0,0,0,0,0,0,0,0,0,9319.37218,9319.37218,9319.37218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9319.37218,9319.37218,9319.37218,0,0,0,5233.809199,5233.809199,5233.809199,-4076.715223,-4076.715223,-4076.715223,0,0,0,19410.3764
31,2011-02-06,8939.051749,80000,-1198.550762,16574.53888,8939.051749,8939.051749,-1104.394678,-1104.394678,-1104.394678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.853385,2915.853385,2915.853385,-4020.248062,-4020.248062,-4020.248062,0,0,0,7834.657072
32,2011-02-07,8944.193255,80000,-4548.992565,12930.29363,8944.193255,8944.193255,-4507.920056,-4507.920056,-4507.920056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539.3197051,-539.3197051,-539.3197051,-3968.600351,-3968.600351,-3968.600351,0,0,0,4436.273198
