,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,414.2798011,4400,-208.1406286,230.0553835,414.2798011,414.2798011,-407.2370263,-407.2370263,-407.2370263,0,0,0,0,0,0,0,0,0,267.9437585,267.9437585,267.9437585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.9437585,267.9437585,267.9437585,0,0,0,-451.1245852,-451.1245852,-451.1245852,-224.0561996,-224.0561996,-224.0561996,0,0,0,7.042774723
1,2018-01-02,414.3101544,4400,56.54915279,494.1332726,414.3101544,414.3101544,-146.6783403,-146.6783403,-146.6783403,0,0,0,0,0,0,0,0,0,59.31104059,59.31104059,59.31104059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.31104059,59.31104059,59.31104059,0,0,0,15.83913154,15.83913154,15.83913154,-221.8285125,-221.8285125,-221.8285125,0,0,0,267.6318141
2,2018-01-03,414.3405077,4400,-3.899699857,442.0789678,414.3405077,414.3405077,-191.619402,-191.619402,-191.619402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40296619,27.40296619,27.40296619,-219.0223681,-219.0223681,-219.0223681,0,0,0,222.7211057
3,2018-01-04,414.370861,4400,-20.10061784,407.8835369,414.370861,414.370861,-207.3601999,-207.3601999,-207.3601999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.352840084,8.352840084,8.352840084,-215.71304,-215.71304,-215.71304,0,0,0,207.0106611
4,2018-01-05,414.4012143,4400,-20.45351883,406.8102115,414.4012143,414.4012143,-229.0522625,-229.0522625,-229.0522625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.06416925,-17.06416925,-17.06416925,-211.9880932,-211.9880932,-211.9880932,0,0,0,185.3489519
5,2018-01-06,414.4315677,4400,162.8792529,606.1231874,414.4315677,414.4315677,-31.58345984,-31.58345984,-31.58345984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.3611889,176.3611889,176.3611889,-207.9446487,-207.9446487,-207.9446487,0,0,0,382.8481078
6,2018-01-07,414.461921,4400,228.5212595,656.44823,414.461921,414.461921,36.5462162,36.5462162,36.5462162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.2326277,240.2326277,240.2326277,-203.6864115,-203.6864115,-203.6864115,0,0,0,451.0081372
7,2018-01-08,414.4922743,4400,-447.7941538,-6.809813365,414.4922743,414.4922743,-650.4451432,-650.4451432,-650.4451432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-451.1245852,-451.1245852,-451.1245852,-199.320558,-199.320558,-199.320558,0,0,0,0
8,2018-01-09,414.5226276,4400,27.21314304,448.8404568,414.5226276,414.5226276,-179.1154476,-179.1154476,-179.1154476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.83913154,15.83913154,15.83913154,-194.9545792,-194.9545792,-194.9545792,0,0,0,235.40718
9,2018-01-10,414.5529809,4400,33.78579041,476.4529134,414.5529809,414.5529809,-163.2902096,-163.2902096,-163.2902096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40296619,27.40296619,27.40296619,-190.6931758,-190.6931758,-190.6931758,0,0,0,251.2627714
