,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,66.90703195,700,-58.49275855,80.40620994,66.90703195,66.90703195,-54.09448486,-54.09448486,-54.09448486,0,0,0,0,0,0,0,0,0,83.96486854,83.96486854,83.96486854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.96486854,83.96486854,83.96486854,0,0,0,-72.40341189,-72.40341189,-72.40341189,-65.65594151,-65.65594151,-65.65594151,0,0,0,12.81254709
1,2018-01-02,66.93201277,700,-19.62797314,119.2588652,66.93201277,66.93201277,-13.78336649,-13.78336649,-13.78336649,0,0,0,0,0,0,0,0,0,54.28223213,54.28223213,54.28223213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.28223213,54.28223213,54.28223213,0,0,0,-2.858141966,-2.858141966,-2.858141966,-65.20745666,-65.20745666,-65.20745666,0,0,0,53.14864628
2,2018-01-03,66.95699359,700,-56.6912709,78.23743677,66.95699359,66.95699359,-57.47149708,-57.47149708,-57.47149708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.063022602,7.063022602,7.063022602,-64.53451968,-64.53451968,-64.53451968,0,0,0,9.485496511
3,2018-01-04,66.98197441,700,-72.78514152,64.81813547,66.98197441,66.98197441,-71.58915088,-71.58915088,-71.58915088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.935628189,-7.935628189,-7.935628189,-63.65352269,-63.65352269,-63.65352269,0,0,0,0
4,2018-01-05,67.00695523,700,-72.06520307,63.24947245,67.00695523,67.00695523,-71.1900997,-71.1900997,-71.1900997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.604017855,-8.604017855,-8.604017855,-62.58608184,-62.58608184,-62.58608184,0,0,0,0
5,2018-01-06,67.03193606,700,-15.14969167,116.4670427,67.03193606,67.03193606,-16.2436078,-16.2436078,-16.2436078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.11474003,45.11474003,45.11474003,-61.35834783,-61.35834783,-61.35834783,0,0,0,50.78832825
6,2018-01-07,67.05691688,700,-16.80481765,109.9032648,67.05691688,67.05691688,-20.37675678,-20.37675678,-20.37675678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62343727,39.62343727,39.62343727,-60.00019405,-60.00019405,-60.00019405,0,0,0,46.6801601
7,2018-01-08,67.0818977,700,-131.5846005,4.610761821,67.0818977,67.0818977,-130.9477209,-130.9477209,-130.9477209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.40341189,-72.40341189,-72.40341189,-58.54430903,-58.54430903,-58.54430903,0,0,0,0
8,2018-01-09,67.10687852,700,-64.06957531,72.15011767,67.10687852,67.10687852,-59.88336405,-59.88336405,-59.88336405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.858141966,-2.858141966,-2.858141966,-57.02522209,-57.02522209,-57.02522209,0,0,0,7.223514464
9,2018-01-10,67.13185934,700,-51.58239181,88.96420627,67.13185934,67.13185934,-48.41527005,-48.41527005,-48.41527005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.063022602,7.063022602,7.063022602,-55.47829265,-55.47829265,-55.47829265,0,0,0,18.71658929
10,2018-01-11,67.15684016,700,-60.45821143,69.23293876,67.15684016,67.15684016,-61.87432215,-61.87432215,-61.87432215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.935628189,-7.935628189,-7.935628189,-53.93869397,-53.93869397,-53.93869397,0,0,0,5.282518004
11,2018-01-12,67.18182098,700,-60.61227656,77.50525908,67.18182098,67.18182098,-61.04443952,-61.04443952,-61.04443952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.604017855,-8.604017855,-8.604017855,-52.44042167,-52.44042167,-52.44042167,0,0,0,6.137381458
12,2018-01-13,67.2068018,700,-5.724869376,127.5719611,67.2068018,67.2068018,-5.900616284,-5.900616284,-5.900616284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.11474003,45.11474003,45.11474003,-51.01535631,-51.01535631,-51.01535631,0,0,0,61.30618552
13,2018-01-14,67.23178262,700,-9.480768327,132.2310799,67.23178262,67.23178262,-10.06896935,-10.06896935,-10.06896935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62343727,39.62343727,39.62343727,-49.69240662,-49.69240662,-49.69240662,0,0,0,57.16281327
14,2018-01-15,67.25676344,700,-120.5130124,14.99884607,67.25676344,67.25676344,-120.9001693,-120.9001693,-120.9001693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.40341189,-72.40341189,-72.40341189,-48.49675738,-48.49675738,-48.49675738,0,0,0,0
15,2018-01-16,67.28174426,700,-44.86566552,84.94832752,67.28174426,67.28174426,-50.30738412,-50.30738412,-50.30738412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.858141966,-2.858141966,-2.858141966,-47.44924216,-47.44924216,-47.44924216,0,0,0,16.97436014
16,2018-01-17,67.30672508,700,-41.85374827,86.3511712,67.30672508,67.30672508,-39.50283438,-39.50283438,-39.50283438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.063022602,7.063022602,7.063022602,-46.56585698,-46.56585698,-46.56585698,0,0,0,27.80389071
17,2018-01-18,67.3317059,700,-51.37475018,78.1623117,67.3317059,67.3317059,-53.79305449,-53.79305449,-53.79305449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.935628189,-7.935628189,-7.935628189,-45.8574263,-45.8574263,-45.8574263,0,0,0,13.53865142
18,2018-01-19,67.35668672,700,-51.92601173,77.22058137,67.35668672,67.35668672,-53.93344581,-53.93344581,-53.93344581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.604017855,-8.604017855,-8.604017855,-45.32942796,-45.32942796,-45.32942796,0,0,0,13.42324091
19,2018-01-20,67.38166755,700,-2.734910865,130.7590139,67.38166755,67.38166755,0.132761375,0.132761375,0.132761375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.11474003,45.11474003,45.11474003,-44.98197865,-44.98197865,-44.98197865,0,0,0,67.51442892
20,2018-01-21,67.40664837,700,-4.699509605,130.617019,67.40664837,67.40664837,-5.186539415,-5.186539415,-5.186539415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62343727,39.62343727,39.62343727,-44.80997669,-44.80997669,-44.80997669,0,0,0,62.22010895
21,2018-01-22,67.43162919,700,-114.1309795,20.01230186,67.43162919,67.43162919,-117.2068058,-117.2068058,-117.2068058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.40341189,-72.40341189,-72.40341189,-44.80339392,-44.80339392,-44.80339392,0,0,0,0
