,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,buddabirthday,buddabirthday_lower,buddabirthday_upper,childrendays,childrendays_lower,childrendays_upper,crismasday,crismasday_lower,crismasday_upper,holidays,holidays_lower,holidays_upper,independencemovementday,independencemovementday_lower,independencemovementday_upper,koreanday,koreanday_lower,koreanday_upper,liberationday,liberationday_lower,liberationday_upper,memorialday,memorialday_lower,memorialday_upper,nationalfoundationday,nationalfoundationday_lower,nationalfoundationday_upper,newyear,newyear_lower,newyear_upper,thanksgivingday,thanksgivingday_lower,thanksgivingday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,209.1616613,2000,-392.1292355,292.3086081,209.1616613,209.1616613,-255.2804926,-255.2804926,-255.2804926,0,0,0,0,0,0,0,0,0,170.2075459,170.2075459,170.2075459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.2075459,170.2075459,170.2075459,0,0,0,-235.0705808,-235.0705808,-235.0705808,-190.4174578,-190.4174578,-190.4174578,0,0,0,0
1,2018-01-02,209.2688063,2000,-313.6471875,353.6933959,209.2688063,209.2688063,-195.1962427,-195.1962427,-195.1962427,0,0,0,0,0,0,0,0,0,70.40797111,70.40797111,70.40797111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.40797111,70.40797111,70.40797111,0,0,0,-74.98078882,-74.98078882,-74.98078882,-190.623425,-190.623425,-190.623425,0,0,0,14.07256364
2,2018-01-03,209.3759513,2000,-321.0622766,355.366037,209.3759513,209.3759513,-197.6815056,-197.6815056,-197.6815056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.874886622,-6.874886622,-6.874886622,-190.806619,-190.806619,-190.806619,0,0,0,11.69444574
3,2018-01-04,209.4830963,2000,-375.2308972,333.6370236,209.4830963,209.4830963,-229.7063742,-229.7063742,-229.7063742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.74206177,-38.74206177,-38.74206177,-190.9643124,-190.9643124,-190.9643124,0,0,0,0
4,2018-01-05,209.5902413,2000,-360.7097671,309.6798903,209.5902413,209.5902413,-219.3233061,-219.3233061,-219.3233061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.23460952,-28.23460952,-28.23460952,-191.0886965,-191.0886965,-191.0886965,0,0,0,0
5,2018-01-06,209.6973863,2000,-175.4878554,514.9392123,209.6973863,209.6973863,-39.14719231,-39.14719231,-39.14719231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0203959,152.0203959,152.0203959,-191.1675883,-191.1675883,-191.1675883,0,0,0,170.550194
6,2018-01-07,209.8045314,2000,-57.73724206,572.3428997,209.8045314,209.8045314,40.69720976,40.69720976,40.69720976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.8825316,231.8825316,231.8825316,-191.1853218,-191.1853218,-191.1853218,0,0,0,250.5017411
7,2018-01-08,209.9116764,2000,-535.5078955,128.2481802,209.9116764,209.9116764,-426.1943691,-426.1943691,-426.1943691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-235.0705808,-235.0705808,-235.0705808,-191.1237883,-191.1237883,-191.1237883,0,0,0,0
8,2018-01-09,210.0188214,2000,-414.5982621,309.8741367,210.0188214,210.0188214,-265.944372,-265.944372,-265.944372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.98078882,-74.98078882,-74.98078882,-190.9635832,-190.9635832,-190.9635832,0,0,0,0
9,2018-01-10,210.1259664,2000,-313.510579,357.1691752,210.1259664,210.1259664,-197.5601035,-197.5601035,-197.5601035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.874886622,-6.874886622,-6.874886622,-190.6852168,-190.6852168,-190.6852168,0,0,0,12.56586289
10,2018-01-11,210.2331114,2000,-345.7858243,289.2260599,210.2331114,210.2331114,-229.0124024,-229.0124024,-229.0124024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.74206177,-38.74206177,-38.74206177,-190.2703406,-190.2703406,-190.2703406,0,0,0,0
11,2018-01-12,210.3402564,2000,-324.5643145,328.5013229,210.3402564,210.3402564,-217.9375505,-217.9375505,-217.9375505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.23460952,-28.23460952,-28.23460952,-189.702941,-189.702941,-189.702941,0,0,0,0
12,2018-01-13,210.4474014,2000,-165.4582447,501.4319212,210.4474014,210.4474014,-36.95005768,-36.95005768,-36.95005768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0203959,152.0203959,152.0203959,-188.9704536,-188.9704536,-188.9704536,0,0,0,173.4973437
13,2018-01-14,210.5545464,2000,-56.4465762,584.3287969,210.5545464,210.5545464,43.81777804,43.81777804,43.81777804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.8825316,231.8825316,231.8825316,-188.0647535,-188.0647535,-188.0647535,0,0,0,254.3723244
14,2018-01-15,210.6616914,2000,-549.8604434,114.3785549,210.6616914,210.6616914,-422.0535612,-422.0535612,-422.0535612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-235.0705808,-235.0705808,-235.0705808,-186.9829804,-186.9829804,-186.9829804,0,0,0,0
15,2018-01-16,210.7688364,2000,-404.2924057,277.8355799,210.7688364,210.7688364,-260.7089523,-260.7089523,-260.7089523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.98078882,-74.98078882,-74.98078882,-185.7281635,-185.7281635,-185.7281635,0,0,0,0
16,2018-01-17,210.8759814,2000,-335.844142,354.1456749,210.8759814,210.8759814,-191.1845058,-191.1845058,-191.1845058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.874886622,-6.874886622,-6.874886622,-184.3096192,-184.3096192,-184.3096192,0,0,0,19.69147554
17,2018-01-18,210.9831264,2000,-341.8192314,324.2432726,210.9831264,210.9831264,-221.4851612,-221.4851612,-221.4851612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.74206177,-38.74206177,-38.74206177,-182.7430995,-182.7430995,-182.7430995,0,0,0,0
18,2018-01-19,211.0902714,2000,-341.3830121,328.3429909,211.0902714,211.0902714,-209.2852893,-209.2852893,-209.2852893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.23460952,-28.23460952,-28.23460952,-181.0506797,-181.0506797,-181.0506797,0,0,0,1.804982122
19,2018-01-20,211.1974164,2000,-129.1954474,516.9489187,211.1974164,211.1974164,-27.23998876,-27.23998876,-27.23998876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0203959,152.0203959,152.0203959,-179.2603847,-179.2603847,-179.2603847,0,0,0,183.9574276
